function,T0,sigma,J,X,lambda_min,trace_M_zeros,trace_M_arith,trace_residual,trace_residual_rel,n_zeros_used,runtime_s,abs_lambda_min,lambda_over_tr
zeta,85.7,1.0,20,50000000,-1.0506850081309468e-10,7.623359620434618,7.623359619912777,5.218412368890313e-10,6.845292139835853e-11,25,0.0015718936920166016,1.0506850081309468e-10,1.378244055697645e-11
zeta,85.7,1.0,24,50000000,-1.0207192146712098e-07,9.47222617666946,9.472225815405812,3.612636483296683e-07,3.8139254869090615e-08,25,0.0016484260559082031,1.0207192146712098e-07,1.0775916829195753e-08
zeta,85.7,1.0,28,50000000,-3.4044440980006466e-05,11.351475499531704,11.35139001637006,8.548316164436187e-05,7.530577117299721e-06,25,0.0017306804656982422,3.4044440980006466e-05,2.999120332983227e-06
zeta,120.0,1.0,4,50000000,-3.9694929820871153e-14,1.5971658944407565,1.5971658944408276,-7.105427357601002e-14,4.448772279907059e-14,24,0.0009253025054931641,3.9694929820871153e-14,2.4853354281503883e-14
zeta,120.0,1.0,8,50000000,-6.01397535527407e-14,3.7168209654437074,3.7168209654438598,-1.5232259897857148e-13,4.098195753703393e-14,24,0.0009829998016357422,6.01397535527407e-14,1.618042787421732e-14
zeta,120.0,1.0,12,50000000,-8.05753364992909e-14,6.036335575357059,6.0363355753572705,-2.113864638886298e-13,3.5019004700732856e-14,24,0.0011439323425292969,8.05753364992909e-14,1.334838586977079e-14
zeta,120.0,1.0,16,50000000,-1.4072457259121817e-13,7.640002127158702,7.6400021271589145,-2.1227464230832993e-13,2.778463130968713e-14,24,0.0012807846069335938,1.4072457259121817e-13,1.8419441545830207e-14
zeta,120.0,1.0,20,50000000,-1.245126594087011e-10,9.756924788743909,9.75692478859479,1.4911982759713283e-10,1.5283486428958143e-11,24,0.001447916030883789,1.245126594087011e-10,1.2761465533929843e-11
zeta,120.0,1.0,24,50000000,-1.1262165652145152e-07,11.094413005287718,11.094412900182782,1.0510493630988549e-07,9.473681596294579e-09,24,0.0015671253204345703,1.1262165652145152e-07,1.01512046169342e-08
zeta,120.0,1.0,28,50000000,-3.502701029650406e-05,12.574563273061118,12.57453794022956,2.533283155869981e-05,2.0146092558913065e-06,24,0.0017917156219482422,3.502701029650406e-05,2.785544876261709e-06
Lchi,30.0,1.0,4,50000000,-2.1859974540644312e-14,2.1600998305669084,2.1600998305669874,-7.904787935331115e-14,3.659454911978091e-14,27,0.001283884048461914,2.1859974540644312e-14,1.0119890863982551e-14
Lchi,30.0,1.0,8,50000000,-2.6438240265081893e-14,3.5780670830198598,3.5780670830200143,-1.545430450278218e-13,4.319176847220782e-14,27,0.0013339519500732422,2.6438240265081893e-14,7.388972775426064e-15
Lchi,30.0,1.0,12,50000000,-3.3960802573104465e-14,5.474291254711705,5.4742912547119325,-2.2737367544323206e-13,4.153481516854483e-14,27,0.001455068588256836,3.3960802573104465e-14,6.203689389722279e-15
Lchi,30.0,1.0,16,50000000,-4.7515318613120915e-14,7.683678419794008,7.683678419794317,-3.090860900556436e-13,4.022631780885097e-14,27,0.0016095638275146484,4.7515318613120915e-14,6.1839285843504564e-15
Lchi,30.0,1.0,20,50000000,-9.461642193926885e-13,10.68088020449351,10.680880204493366,1.438849039914203e-13,1.3471259038266064e-14,27,0.0017621517181396484,9.461642193926885e-13,8.858485455109136e-14
Lchi,30.0,1.0,24,50000000,-8.337161937639823e-10,12.343894824470915,12.343894824088546,3.823696914651009e-10,3.0976421696908786e-11,27,0.0018949508666992188,8.337161937639823e-10,6.754077263451709e-11
Lchi,30.0,1.0,28,50000000,-2.6386589503144825e-07,14.332880345205083,14.332880252479391,9.272569201357328e-08,6.469438785526016e-09,27,0.001962423324584961,2.6386589503144825e-07,1.8409830311582965e-08
Lchi,46.13,1.0,4,50000000,-2.6929030811107126e-14,2.143757248462672,2.143757248462765,-9.281464485866309e-14,4.329531476813533e-14,33,0.0010883808135986328,2.6929030811107126e-14,1.2561604552203115e-14
