Function,epsilon,Peak_Index,t_value,Peak_Magnitude,M_coh,R_comp,CAS
L_DH^(0.05),0.05,28,2634.0,13.1639910136336,1.6858541409317902,0.00021035921458781065,0.9079056879482655
L_DH^(0.05),0.05,29,7638.0,12.935484102016828,1.8952417743052525,0.00017361380311527717,0.9079056879482655
L_DH^(0.05),0.05,30,6495.0,12.742058184602623,1.357158937545795,0.00024156474920786168,0.9079056879482655
L_DH^(0.05),0.05,31,8200.0,12.693015564541824,1.9587940943317248,0.0001952296503588106,0.9079056879482655
L_DH^(0.05),0.05,32,6850.0,12.664977118934926,1.8377384142872795,0.00017266596867952476,0.9079056879482655
L_DH^(0.05),0.05,33,2742.0,12.634242323990966,1.636392117227792,0.00020047596450311573,0.9079056879482655
L_DH^(0.05),0.05,34,1770.0,12.587757918954624,1.3942973819177,0.00021692509172989086,0.9079056879482655
L_DH^(0.05),0.05,35,7111.0,12.569543928309773,1.9147071482918256,0.0001670483286767684,0.9079056879482655
L_DH^(0.05),0.05,36,5362.0,12.560051880349958,1.661598140426091,0.00020639172384970757,0.9079056879482655
L_DH^(0.05),0.05,37,3867.0,12.520229828725537,1.841051129185415,0.0001559550824791895,0.9079056879482655
L_DH^(0.05),0.05,38,8181.0,12.34592732397001,1.898957031315106,0.0001705943069236242,0.9079056879482655
L_DH^(0.05),0.05,39,1290.0,12.239700868396508,1.6550996633341164,0.00020810410648267343,0.9079056879482655
L_DH^(0.05),0.05,40,8009.0,12.213624931703688,1.9731667844425342,0.00017374469981840248,0.9079056879482655
L_DH^(0.05),0.05,41,8090.0,12.189201286038921,1.6055341563879135,0.00019374881678601585,0.9079056879482655
L_DH^(0.05),0.05,42,8317.0,12.101355192793363,1.6429102569587308,0.00017134564028116334,0.9079056879482655
L_DH^(0.05),0.05,43,7186.0,12.068779164135899,1.8185328913671566,0.00017344012245901745,0.9079056879482655
L_DH^(0.05),0.05,44,4019.0,12.003098209689975,1.9602900858309495,0.00017551477824642435,0.9079056879482655
L_DH^(0.05),0.05,45,4464.0,11.995504323281942,2.0089901902292024,0.00016078195282968793,0.9079056879482655
L_DH^(0.05),0.05,46,1919.0,11.962231250541114,2.1186967491453017,0.0001691741382388673,0.9079056879482655
L_DH^(0.05),0.05,47,5933.0,11.961000921905116,2.0015382965755766,0.00015916167044806073,0.9079056879482655
L_DH^(0.05),0.05,48,6431.0,11.906965835775372,2.0369802635706864,0.0001685620100356661,0.9079056879482655
L_DH^(0.05),0.05,49,1833.0,11.88984397035198,1.7624907515855541,0.00017962265655839144,0.9079056879482655
L_DH^(0.10),0.1,0,1329.0,20.38435443856792,1.8860050716320615,0.00032349556485794273,0.9095642196563652
L_DH^(0.10),0.1,1,1610.0,18.594634846563707,1.9360061017349914,0.00028095057108359786,0.9095642196563652
L_DH^(0.10),0.1,2,1055.0,18.55023180661091,2.0390146951392145,0.0002722472349222259,0.9095642196563652
L_DH^(0.10),0.1,3,4293.0,18.2108697633406,1.6768678697028838,0.0003083253223558704,0.9095642196563652
L_DH^(0.10),0.1,4,6295.0,18.040324483357377,1.9871988074795421,0.0002607034383836552,0.9095642196563652
L_DH^(0.10),0.1,5,7267.0,17.70987904548616,1.847934768022248,0.00026612717956747537,0.9095642196563652
L_DH^(0.10),0.1,6,2434.0,17.301244455241022,1.7045273763785806,0.00028058612517631494,0.9095642196563652
L_DH^(0.10),0.1,7,5978.0,16.61040903472597,1.2843321655357165,0.00029890332496065316,0.9095642196563652
L_DH^(0.10),0.1,8,7393.0,15.817058823099009,1.831101341388525,0.0002279102398876438,0.9095642196563652
L_DH^(0.10),0.1,9,1083.0,14.866030195976451,1.4368476106119594,0.00026242951760029596,0.9095642196563652
L_DH^(0.10),0.1,10,9359.0,14.779095614647973,1.948991064181737,0.00020288733037680728,0.9095642196563652
L_DH^(0.10),0.1,11,5425.0,14.476626995263908,1.7971729779220575,0.00021158254381126447,0.9095642196563652
L_DH^(0.10),0.1,12,7700.0,14.464388731338653,1.6616192818296347,0.00022565285116587388,0.9095642196563652
L_DH^(0.10),0.1,13,5569.0,14.414434546856272,1.9751383126346373,0.00020066628274033346,0.9095642196563652
L_DH^(0.10),0.1,14,2263.0,14.280001044480425,1.2249198388559246,0.0002750236521144383,0.9095642196563652
L_DH^(0.10),0.1,15,9023.0,14.066311872086832,1.9671763940586207,0.00019508132927524072,0.9095642196563652
L_DH^(0.10),0.1,16,3531.0,14.014067473535961,1.976318612487019,0.0002004398040422924,0.9095642196563652
L_DH^(0.10),0.1,17,3938.0,13.786114243700945,2.0193754896952414,0.0001894044420446583,0.9095642196563652
L_DH^(0.10),0.1,18,4590.0,13.716279662346498,1.643267733584124,0.00024888184892041726,0.9095642196563652
L_DH^(0.10),0.1,19,9004.0,13.62902490547733,1.4778318522675946,0.00022041060036345541,0.9095642196563652
L_DH^(0.10),0.1,20,6049.0,13.60258157790631,1.939127255778286,0.00019334342087749291,0.9095642196563652
L_DH^(0.10),0.1,21,1283.0,13.595130053406246,1.8712395757914206,0.0002119236674261052,0.9095642196563652
L_DH^(0.10),0.1,22,9856.0,13.590851011078941,1.4240561871477284,0.0002328876530270924,0.9095642196563652
L_DH^(0.10),0.1,23,2634.0,13.583260595984243,1.7395481430653776,0.00021273801290615512,0.9095642196563652
L_DH^(0.10),0.1,24,5397.0,13.57065908667492,1.9215061452510591,0.00019888996203252124,0.9095642196563652
L_DH^(0.10),0.1,25,9812.0,13.51277131640664,1.9606794985563982,0.00018665743115148071,0.9095642196563652
L_DH^(0.10),0.1,26,7810.0,13.412929757484143,1.9846849681300585,0.0001833416514068564,0.9095642196563652
