delta,sigma,J,m,lambda_min_dQ,lambda_min_Q,lambda_min_base,tr_Mzeros
0.01,1.0,20,5,0.0,-0.9046996145799262,-0.9046996145799262,6.488014882033138
0.1,1.0,20,5,0.0,-0.9046996145799262,-0.9046996145799262,6.488014882033138
1e-05,1.0,20,20,-4.981555656316005e-09,-0.7921138314966452,-0.7921138310997252,12.976029763941833
0.0001,1.0,20,20,-4.981556007116419e-07,-0.7921138707916976,-0.7921138310997252,12.976029751622148
0.001,1.0,20,20,-4.9815937727752764e-05,-0.7921178008263341,-0.7921138310997252,12.976028519664716
0.01,1.0,20,20,-0.004985371671532766,-0.7925161176053508,-0.7921138310997252,12.975905428408538
0.1,1.0,20,20,-0.5377189649343143,-0.9147156493640819,-0.7921138310997252,12.964739003978531
1e-05,2.0,4,1,0.0,-7.0853663203273805e-16,-7.0853663203273805e-16,1.3009517437188498
0.0001,2.0,4,1,0.0,-7.0853663203273805e-16,-7.0853663203273805e-16,1.3009517437188498
0.001,2.0,4,1,0.0,-7.0853663203273805e-16,-7.0853663203273805e-16,1.3009517437188498
0.01,2.0,4,1,0.0,-7.0853663203273805e-16,-7.0853663203273805e-16,1.3009517437188498
0.1,2.0,4,1,0.0,-7.0853663203273805e-16,-7.0853663203273805e-16,1.3009517437188498
1e-05,2.0,4,5,0.0,-5.112285162581655e-16,-5.112285162581655e-16,1.3009517437188536
0.0001,2.0,4,5,0.0,-5.112285162581655e-16,-5.112285162581655e-16,1.3009517437188536
0.001,2.0,4,5,-1.734723475976807e-18,-5.110627835757745e-16,-5.112285162581655e-16,1.3009517437188536
0.01,2.0,4,5,-3.469446951953614e-18,-5.108973441045533e-16,-5.112285162581655e-16,1.3009517437188536
0.1,2.0,4,5,-1.3293423006839576e-15,-5.193550026771835e-16,-5.112285162581655e-16,1.300951743718852
1e-05,2.0,4,20,-3.12597263492052e-11,0.018041604344191005,0.018041604375283488,2.6019034874339386
