function,peak_idx,pc1_instantaneous,H_instantaneous
F1,197,0.9969085405520728,0.020952566306077204
F1,198,0.9689160492014544,0.1384901314507092
F1,199,0.9719240333337544,0.12798907009218816
F2,0,0.9956889011572266,0.027782461772008254
F2,1,0.9828598939572366,0.08668976694491681
F2,2,0.9995471655942468,0.003939549562150282
F2,3,0.9835993747199768,0.08367911128400966
F2,4,0.9828889270410669,0.08657218563622328
F2,5,0.9817277429563176,0.09123665178906708
F2,6,0.9897674698249702,0.05706732826807591
F2,7,0.9633919157709709,0.1570104112959829
F2,8,0.9845794750001503,0.0796363045633397
F2,9,0.9977711080097091,0.015836579399524712
F2,10,0.9952770810264654,0.03000452976471968
F2,11,0.9974000928154882,0.018071898814693125
F2,12,0.9913688046990399,0.04961249217837633
F2,13,0.9624643061770458,0.16003177102002095
F2,14,0.99721052168948,0.01919301848180386
F2,15,0.9722415010536442,0.12686199550266608
F2,16,0.9899721476990984,0.05612947987222928
F2,17,0.9606094085853522,0.1660025550680022
F2,18,0.9951391559296041,0.03074050680725838
F2,19,0.9906056514437661,0.05319958557204637
F2,20,0.9922573206930869,0.04534984918848268
F2,21,0.9621986503195659,0.1608926384571768
F2,22,0.9913346423419294,0.04977448016833808
F2,23,0.9925953042796621,0.04370199139300666
F2,24,0.9675199477775466,0.14326010386442176
F2,25,0.9334703231226815,0.24456835199112723
F2,26,0.9839603170549722,0.0821973822826067
F2,27,0.987335549228049,0.06791434869177701
F2,28,0.9653578915671668,0.15052552899938731
F2,29,0.985634385517773,0.0752140529094262
F2,30,0.9132839546077633,0.29487337725171653
F2,31,0.9892676817442041,0.0593401706822096
F2,32,0.9835559626075046,0.08385677773424387
F2,33,0.9933020611680908,0.04020504070220947
F2,34,0.9938940474312298,0.03721841833360466
F2,35,0.9868816357223694,0.06988354835546579
F2,36,0.9582560407107393,0.17344748255772113
F2,37,0.9954812437860728,0.028907638982182224
F2,38,0.9835850350768409,0.0837378099662442
F2,39,0.9238283426585218,0.26931817765456106
F2,40,0.9960474996177594,0.025815471797459986
F2,41,0.9850107910273403,0.07783734942888108
F2,42,0.9806668170225755,0.09543251268243244
F2,43,0.9978207665113193,0.015532904374646928
F2,44,0.9779910823021883,0.10575772377839217
F2,45,0.9643122224758222,0.15398872679645947
F2,46,0.9507358021468731,0.19634299314437337
F2,47,0.9911774844947675,0.0505179351428312
F2,48,0.906708661949319,0.31008735613762184
F2,49,0.9758668405663801,0.11371553503817176
F2,50,0.9922499017959184,0.04538585125657276
F2,51,0.9767306112162918,0.11050378084758831
F2,52,0.9902427825863362,0.05488291819241682
F2,53,0.9534940640417544,0.18809573494569057
F2,54,0.9961486936703373,0.025254612939826684
F2,55,0.9977646900733296,0.015875745355287043
F2,56,0.9867012842831198,0.07066151284816476
F2,57,0.9848259389992605,0.07860986218073532
F2,58,0.9776394934356555,0.10708881385508837
F2,59,0.9328301425226551,0.24625594627640873
F2,60,0.8993173243667817,0.32658038114567506
F2,61,0.9956950847738967,0.027748804577369862
F2,62,0.9976845605119248,0.016363204266646825
F2,63,0.9454706384783119,0.21164163466968852
F2,64,0.8716974470273247,0.3831471440557786
F2,65,0.9647589973119203,0.1525129739971775
F2,66,0.9801029607808236,0.09763813753555328
F2,67,0.9581649863000737,0.17373270347931827
F2,68,0.9722931240470165,0.12667837152645342
F2,69,0.9953910700128445,0.029393227654821854
F2,70,0.9143241669559726,0.2924174368135031
F2,71,0.9786342857594689,0.10330767279085766
F2,72,0.9653967430022118,0.15039623103338437
F2,73,0.9953246820043776,0.029749594424673478
