Function,Peak_Index,t_value,Peak_Magnitude,M_coh,R_comp
L_DH,37,6325.0,8.08396609620269,1.886675932208511,0.017230541813804366
L_DH,38,2584.0,8.053567240234509,2.1520353815598754,0.01573739400596067
L_DH,39,4404.0,8.052098261235345,1.8274659689163077,0.017684993520313688
L_DH,40,8241.0,8.039017886278273,2.0183849761540995,0.01667498336268755
L_DH,41,5903.0,8.013914368429958,1.8214587277180672,0.01758665356813809
L_DH,42,5314.0,7.974462359081842,1.373964325414183,0.02211880346438193
L_DH,43,7172.0,7.972220619867122,2.1624705166648046,0.01575988412359264
L_DH,44,4353.0,7.958099734741971,1.8061117107551863,0.017773580318198118
L_DH,45,7407.0,7.939006127322846,2.130462188342725,0.01564071781305093
L_DH,46,9951.0,7.926863288751495,1.7267546777534628,0.018582079736427344
L_DH,47,4216.0,7.917049860503955,2.1846591018671813,0.0147029424762092
L_DH,48,2900.0,7.915747942345138,2.0141817386084324,0.015775342864124443
L_DH,49,4633.0,7.911783180194211,2.019772458535648,0.01598549415701573
"L(s,χ_4) mod4",0,7312.0,10.890697533887087,1.9917704169247732,0.009249638580647535
"L(s,χ_4) mod4",1,7964.0,10.845519863501105,1.9012406554402488,0.01273962581625852
"L(s,χ_4) mod4",2,8507.0,10.676141754641138,2.080313277765274,0.020855039880852654
"L(s,χ_4) mod4",3,5688.0,10.383112655308008,2.02768264870795,0.014440614031360684
"L(s,χ_4) mod4",4,8187.0,10.207692553103533,1.8913720848966153,0.013277019383653556
"L(s,χ_4) mod4",5,6992.0,9.908112890198597,1.9980059630240192,0.015348960855382983
"L(s,χ_4) mod4",6,5161.0,9.668912764258478,2.108370846761235,0.022825505425302043
"L(s,χ_4) mod4",7,4115.0,9.5093087515754,1.9769737700140952,0.007199992402654894
"L(s,χ_4) mod4",8,9159.0,9.471941417003206,1.9701524979154303,0.012851731140364786
"L(s,χ_4) mod4",9,9514.0,9.208903831574652,1.896527965569109,0.010561991238732246
"L(s,χ_4) mod4",10,3486.0,9.168627550268173,1.9794444991945321,0.013987921089729365
"L(s,χ_4) mod4",11,5333.0,9.010241032839104,2.058683123347149,0.016992782615094522
