kind,x,y
A1_visible_n150,7.70524019835,-2.43656170381
A1_visible_n150,7.74273802197,-2.43988913148
A1_visible_n150,7.7802358456,-2.44022336672
A1_visible_n150,7.81773366922,-2.44163080582
A1_visible_n150,7.85523149285,-2.43979846409
A1_visible_n150,7.89272931647,-2.42933867735
A1_visible_n150,7.93022714009,-2.43389111499
A1_visible_n150,7.96772496372,-2.44772435263
A1_visible_n150,8.00522278734,-2.45853343419
A1_visible_n150,8.04272061097,-2.45991404181
A1_visible_n150,8.08021843459,-2.44321339765
A1_visible_n150,8.11771625822,-2.42119938449
A1_visible_n150,8.15521408184,-2.40454580758
A1_visible_n150,8.19271190547,-2.39504573698
A1_visible_n150,8.23020972909,-2.40008547404
A1_visible_n150,8.26770755272,-2.40389225572
A1_visible_n150,8.30520537634,-2.41117983087
A1_visible_n150,8.34270319996,-2.41666714077
A1_visible_n150,8.38020102359,-2.42104444307
A1_visible_n150,8.41769884721,-2.4197948289
A1_visible_n150,8.45519667084,-2.41887781152
A1_visible_n150,8.49269449446,-2.41765536096
A1_visible_n150,8.53019231809,-2.41680901567
A1_visible_n150,8.56769014171,-2.4170667545
A1_visible_n150,8.60518796534,-2.42151254999
A1_visible_n150,8.64268578896,-2.42309722546
A1_visible_n150,8.68018361258,-2.42140162837
A1_visible_n150,8.71768143621,-2.42137087314
A1_visible_n150,8.75517925983,-2.42187786942
A1_visible_n150,8.79267708346,-2.41284485145
A1_visible_n150,8.83017490708,-2.41539376244
A1_visible_n150,8.86767273071,-2.4029339782
A1_visible_n150,8.90517055433,-2.40063976881
A1_visible_n150,8.94266837796,-2.4123176277
A1_visible_n150,8.98016620158,-2.41074861066
A1_visible_n150,9.01766402521,-2.4194390769
A1_visible_n150,9.05516184883,-2.42968771702
A1_visible_n150,9.09265967245,-2.43872885088
A1_visible_n150,9.13015749608,-2.44193646924
A1_visible_n150,9.1676553197,-2.43954524295
A1_visible_n150,9.20515314333,-2.43493481988
A1_visible_n150,9.24265096695,-2.4324227158
A1_visible_n150,9.28014879058,-2.43100188261
A1_visible_n150,9.3176466142,-2.43087075205
A1_visible_n150,9.35514443783,-2.42963944666
A1_visible_n150,9.39264226145,-2.42273413666
A1_visible_n150,9.43014008508,-2.41622830722
A1_visible_n150,9.4676379087,-2.41749604449
A1_visible_n150,9.50513573232,-2.42404455854
A1_visible_n150,9.54263355595,-2.42650986248
A1_visible_n150,9.58013137957,-2.41805563984
A1_visible_n150,9.6176292032,-2.40954053756
A1_visible_n150,9.65512702682,-2.410892859
A1_visible_n150,9.69262485045,-2.42713759461
A1_visible_n150,9.73012267407,-2.43241099318
A1_visible_n150,9.7676204977,-2.42932152485
A1_visible_n150,9.80511832132,-2.43105865322
A1_visible_n150,9.84261614495,-2.44028063298
A1_visible_n150,9.88011396857,-2.42568713067
A1_visible_n150,9.91761179219,-2.41834949116
A1_visible_n150,9.95510961582,-2.41275511974
A1_visible_n150,9.99260743944,-2.4089119631
A1_visible_n150,10.0301052631,-2.4100028455
A1_visible_n150,10.0676030867,-2.41145076704
A1_visible_n150,10.1051009103,-2.41164506612
A1_visible_n150,10.1425987339,-2.41164365769
A1_visible_n150,10.1800965576,-2.41239171874
A1_visible_n150,10.2175943812,-2.41123024849
A1_visible_n150,10.2550922048,-2.41502495195
A1_visible_n150,10.2925900284,-2.41294900111
A1_visible_n150,10.3300878521,-2.41809294727
A1_visible_n150,10.3675856757,-2.42767881442
A1_visible_n150,10.4050834993,-2.43926029387
A1_visible_n150,10.4425813229,-2.43256917363
A1_visible_n150,10.4800791466,-2.42252859564
A1_visible_n150,10.5175769702,-2.42386248102
A1_visible_n150,10.5550747938,-2.41626793944
A1_visible_n150,10.5925726174,-2.41812962944
A1_visible_n150,10.6300704411,-2.42267556626
A1_visible_n150,10.6675682647,-2.41689245663
A1_visible_n150,10.7050660883,-2.40973014439
A1_visible_n150,10.7425639119,-2.40893772547
A1_visible_n150,10.7800617356,-2.4161834657
A1_visible_n150,10.8175595592,-2.42175730417
A1_visible_n150,10.8550573828,-2.4236961004
A1_visible_n150,10.8925552064,-2.42424676555
A1_visible_n150,10.9300530301,-2.42463281935
A1_visible_n150,10.9675508537,-2.42533511126
A1_visible_n150,11.0050486773,-2.42961582348
A1_visible_n150,11.0425465009,-2.43274500493
A1_visible_n150,11.0800443246,-2.43234385206
