function,function_label,t_value,magnitude,M,R_comp
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),7733.0,10.982494502881131,0.5152952148476925,0.013674526043107366
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),4914.0,10.888772805085749,0.5316030788491883,0.007243286081184395
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),5622.0,10.834685974740045,0.6464305496690335,0.009317491386921123
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),7750.0,10.757893209450431,0.528453351303795,0.009604596868712463
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),7006.0,10.681332623594052,0.5138566268986193,0.011525053034526273
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),3174.0,10.647744780842034,0.5373218121140604,0.01281603838800358
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),3861.0,10.465157236090372,0.562108109562267,0.013266388938636737
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),2431.0,10.460660345926858,0.6605327284378674,0.0109382128577853
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),3236.0,10.460101479861489,0.5681735402520564,0.013987543088956599
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),7126.0,10.408823818244022,0.5136169221002163,0.009116115146951346
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),8368.0,10.376232023323182,0.622733535890006,0.009605706264154025
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),5884.0,10.35551357606173,0.5608169116698621,0.010366065520404477
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),6416.0,10.337413787710348,0.4823116043831298,0.00821896058359349
