n,a_n_real,a_n_imag,a_n_magnitude,omega_n,is_squarefree
351,0.0,0.0,0.0,0,False
352,0.0,0.0,0.0,0,False
353,-0.1986028939392892,0.0,0.1986028939392892,1,True
354,-1.0,0.0,1.0,3,True
355,0.0,0.0,0.0,0,True
356,0.0,0.0,0.0,0,False
357,0.1986028939392892,0.0,0.1986028939392892,3,True
358,-0.1986028939392892,0.0,0.1986028939392892,2,True
359,-1.0,0.0,1.0,1,True
360,0.0,0.0,0.0,0,False
361,0.0,0.0,0.0,0,False
362,0.1986028939392892,0.0,0.1986028939392892,2,True
363,0.0,0.0,0.0,0,False
364,0.0,0.0,0.0,0,False
365,0.0,0.0,0.0,0,True
366,1.0,0.0,1.0,3,True
367,0.1986028939392892,0.0,0.1986028939392892,1,True
368,0.0,0.0,0.0,0,False
369,0.0,0.0,0.0,0,False
370,0.0,0.0,0.0,0,True
371,1.0,0.0,1.0,2,True
372,0.0,0.0,0.0,0,False
373,-0.1986028939392892,0.0,0.1986028939392892,1,True
374,-1.0,0.0,1.0,3,True
375,0.0,0.0,0.0,0,False
376,0.0,0.0,0.0,0,False
377,0.1986028939392892,0.0,0.1986028939392892,2,True
378,0.0,0.0,0.0,0,False
379,-1.0,0.0,1.0,1,True
380,0.0,0.0,0.0,0,False
381,1.0,0.0,1.0,2,True
382,0.1986028939392892,0.0,0.1986028939392892,2,True
383,-0.1986028939392892,0.0,0.1986028939392892,1,True
384,0.0,0.0,0.0,0,False
385,0.0,0.0,0.0,0,True
386,1.0,0.0,1.0,2,True
387,0.0,0.0,0.0,0,False
388,0.0,0.0,0.0,0,False
389,-1.0,0.0,1.0,1,True
390,0.0,0.0,0.0,0,True
391,1.0,0.0,1.0,2,True
392,0.0,0.0,0.0,0,False
393,-0.1986028939392892,0.0,0.1986028939392892,2,True
394,-1.0,0.0,1.0,2,True
395,0.0,0.0,0.0,0,True
396,0.0,0.0,0.0,0,False
397,0.1986028939392892,0.0,0.1986028939392892,1,True
398,-0.1986028939392892,0.0,0.1986028939392892,2,True
399,-1.0,0.0,1.0,3,True
400,0.0,0.0,0.0,0,False
401,1.0,0.0,1.0,1,True
