function,peak_idx,t_value,magnitude,M_coh,R_comp,ACF_sum_squared,class,predicted_linear,predicted_rbf,true_label
L_mobius,28,6740.0,9.670604598111039,0.002315869240222128,3.2532437169260713,0.0032250595158934687,Anomalous,1,1,1
L_mobius,29,1626.0,9.627293147344789,0.3365287442613979,3.1346325808644453,0.0032250595158934687,Anomalous,1,1,1
L_mobius,30,4800.0,9.613369185013216,0.05703540733852388,3.85913048180146,0.0032250595158934687,Anomalous,1,1,1
L_mobius,31,3686.0,9.54412939264919,0.02752796757257272,3.4073250856512693,0.0032250595158934687,Anomalous,1,1,1
L_mobius,32,4636.0,9.529238123029492,0.02681513558852374,3.457820486849685,0.0032250595158934687,Anomalous,1,1,1
L_mobius,33,3612.0,9.474185291747661,0.03490667726750117,3.2551011003538113,0.0032250595158934687,Anomalous,1,1,1
L_mobius,34,8868.0,9.413278199398475,0.046523056754853034,3.3322089786079943,0.0032250595158934687,Anomalous,1,1,1
L_mobius,35,7186.0,9.266737992357404,0.06419600444508519,4.07140228465999,0.0032250595158934687,Anomalous,1,1,1
L_mobius,36,3492.0,9.254141026973162,0.10785380788884066,3.553878248544674,0.0032250595158934687,Anomalous,1,1,1
L_mobius,37,3622.0,9.155133157705055,0.07415344808138576,3.1848479562776526,0.0032250595158934687,Anomalous,1,1,1
L_mobius,38,7728.0,9.10728793381493,0.18473167383203934,2.767104763762066,0.0032250595158934687,Anomalous,1,1,1
L_mobius,39,2090.0,9.083801994468827,0.08268589419813312,4.099311541523285,0.0032250595158934687,Anomalous,1,1,1
L_mobius,40,6838.0,9.008985777837106,0.1896694227827815,2.9477501075256414,0.0032250595158934687,Anomalous,1,1,1
L_mobius,41,5562.0,8.98232222441958,0.25738412461137566,3.201588153633293,0.0032250595158934687,Anomalous,1,1,1
L_mobius,42,3188.0,8.876551063058983,0.07433995695430752,4.07019542532465,0.0032250595158934687,Anomalous,1,1,1
L_mobius,43,6850.0,8.86939860065976,0.2402441680839802,3.0459711681358,0.0032250595158934687,Anomalous,1,1,1
L_mobius,44,4574.0,8.786966988755823,0.09502516431367856,2.9828424531965476,0.0032250595158934687,Anomalous,1,1,1
L_mobius,45,5488.0,8.693268259647029,0.28705197562049584,3.272479260306251,0.0032250595158934687,Anomalous,1,1,1
L_mobius,46,5226.0,8.669876972864428,0.2379325764531451,3.8678748999234474,0.0032250595158934687,Anomalous,1,1,1
L_mobius,47,5750.0,8.66545804866929,0.14013339794637888,3.1370321952810953,0.0032250595158934687,Anomalous,1,1,1
L_mobius,48,2336.0,8.665169920193991,0.21984703495676627,3.108022562866305,0.0032250595158934687,Anomalous,1,1,1
L_mobius,49,1988.0,8.654197220682166,0.1789314030413866,4.0930856962079005,0.0032250595158934687,Anomalous,1,1,1
f_rand,0,6586.0,9.786224424627317,0.10323051042139271,2.901560309647746,0.004307363917690969,Anomalous,1,1,1
f_rand,1,7328.0,8.853264212680717,0.08272974969683447,2.7529388721139063,0.004307363917690969,Anomalous,1,1,1
f_rand,2,3256.0,8.571674116081159,0.14215152385359026,2.6942961308973428,0.004307363917690969,Anomalous,1,1,1
f_rand,3,2558.0,8.340941961819265,0.11112479258368617,2.657997192159845,0.004307363917690969,Anomalous,1,1,1
f_rand,4,6062.0,7.902911524647738,0.10637780620671218,2.379960201346427,0.004307363917690969,Anomalous,1,1,1
f_rand,5,5126.0,7.864014834565009,0.08757599155059761,2.3505802821547075,0.004307363917690969,Anomalous,1,1,1
f_rand,6,1222.0,7.848771624124955,0.1664008831395924,2.35050364105292,0.004307363917690969,Anomalous,1,1,1
f_rand,7,6434.0,7.821200867899916,0.025458472977233988,2.367434004319919,0.004307363917690969,Anomalous,1,1,1
f_rand,8,8358.0,7.784515874619474,0.1861791776269274,2.492801305427604,0.004307363917690969,Anomalous,1,1,1
f_rand,9,1198.0,7.774122292789393,0.14928344815635958,2.3216160796767795,0.004307363917690969,Anomalous,1,1,1
f_rand,10,9356.0,7.771452117213608,0.038021962039210745,2.3740701720891177,0.004307363917690969,Anomalous,1,1,1
f_rand,11,8782.0,7.761037869645203,0.12447742269572214,2.6005994729830664,0.004307363917690969,Anomalous,1,1,1
f_rand,12,2362.0,7.716010612357898,0.09311724240854292,2.5010472055841446,0.004307363917690969,Anomalous,1,1,1
f_rand,13,2488.0,7.706223922308468,0.058605271553684966,2.41097102392792,0.004307363917690969,Anomalous,1,1,1
f_rand,14,6340.0,7.675605268841833,0.08274229470909616,2.4311573186443165,0.004307363917690969,Anomalous,1,1,1
f_rand,15,6848.0,7.672781015598359,0.05742290385606369,2.649932116541581,0.004307363917690969,Anomalous,1,1,1
f_rand,16,9940.0,7.551753058112617,0.03315823721103699,2.562308002350398,0.004307363917690969,Anomalous,1,1,1
f_rand,17,1948.0,7.531690901220384,0.001160726126187812,2.31277920900384,0.004307363917690969,Anomalous,1,1,1
f_rand,18,4770.0,7.526952256320759,0.030793177271650523,2.5812347925604255,0.004307363917690969,Anomalous,1,1,1
f_rand,19,3056.0,7.487427995681633,0.03302115376808943,2.4548088715191145,0.004307363917690969,Anomalous,1,1,1
f_rand,20,3450.0,7.398362910208576,2.5705264897726555e-05,2.2951958455580086,0.004307363917690969,Anomalous,1,1,1
f_rand,21,1068.0,7.33629409301841,0.018764535612288864,2.277728606696525,0.004307363917690969,Anomalous,1,1,1
f_rand,22,2034.0,7.311459037541575,0.15391546177142698,2.2837877761742362,0.004307363917690969,Anomalous,1,1,1
