function,t_value,magnitude,M_coh,R_comp
f_rand,2298.0,18.416318582802216,1.9563133927287948,0.03187365933294276
f_rand,6514.0,17.78934288410107,1.9664135805770138,0.01787784758784306
f_rand,9899.5,17.760177805929498,1.9442179343207744,0.0066556218026906115
f_rand,5930.0,17.621104594039256,1.8733041831689723,0.02399707125380931
f_rand,4890.0,17.421738993456156,1.9584001993400968,0.020590819847185388
f_rand,6085.5,17.359632155721833,1.8085212666688468,0.015850106793158993
f_rand,6491.5,17.355473736900308,2.0465353466943323,0.009879603579209379
f_rand,2705.0,17.270623124621395,1.664522512665287,0.0137550706532466
f_rand,7525.5,16.96048004338066,1.6839062769536142,0.021465342595601157
f_rand,5249.5,16.93171385494568,1.7712152849470042,0.01480541825649646
f_rand,3037.0,16.774064448951723,1.8256503657491938,0.005746136853525959
f_rand,5078.5,16.598270298459404,1.9846672809565233,0.013751497413248803
f_rand,4536.0,16.53471734413535,1.4691619812324097,0.02090983889546167
f_rand,4512.5,16.438677200881255,1.432040589176986,0.007589729163918092
f_rand,3637.5,16.343329457402625,1.8764743833065523,0.011961220439988037
f_rand,4941.5,16.275555509235815,1.6865760282226614,0.013851395406620011
f_rand,4832.0,16.183418506112154,1.178531091845433,0.010542022115400592
f_rand,7732.5,16.16523996130761,1.5507215446438114,0.006069780561278321
f_rand,9111.0,16.12821691164966,2.110805034584586,0.005115517940486277
L_DH,7563.5,29.63033062952175,2.0178863405484555,0.03394376879392369
L_DH,4990.5,22.363678066779126,1.9723588029893828,0.03280630269895439
L_DH,1329.0,21.13403184224386,1.955366865241177,0.03004599417453515
L_DH,6740.5,19.591790975820665,1.6886623203834201,0.026830927434267657
L_DH,9559.5,19.392801526962373,1.9092527167385627,0.02620215007161878
L_DH,4589.5,18.975964902837955,1.9654524400677937,0.02853351133918487
L_DH,1610.0,18.912638309849534,1.969115471742684,0.02566948426171752
L_DH,1055.0,18.7427434545037,2.060175297504389,0.024560217502987987
L_DH,5978.0,18.36413260574915,1.41993169153274,0.028148022660127087
L_DH,1890.5,18.298315715453,2.011872697923572,0.020515777580567347
L_DH,6295.0,17.73919918803609,1.9540289036725007,0.02343456155642638
L_DH,4293.0,17.005498925126933,1.5658765960327212,0.02797303052367068
L_DH,7267.0,16.865210582446498,1.7597979593916606,0.020868881628018445
L_DH,1083.0,16.30547739872043,1.575974616719144,0.01670036906882619
L_DH,2434.0,16.080148124837294,1.5842243467468078,0.022620007240206488
L_DH,8878.5,16.068661787669537,1.9321702870143325,0.020932899780978318
L_DH,1345.5,16.05666811200925,1.9426552080020412,0.020886790725666144
L_DH,9714.5,16.015359395835958,1.9393564406156318,0.017821590616997233
L_DH,2668.5,15.989863372169989,1.9648515111511604,0.014281283981821066
L_DH,2941.5,15.468375298760815,1.9077477264909237,0.022207496085849522
L_DH,7700.0,15.344494014980839,1.7627227530156493,0.018875805707698978
