function,name,d,q,GRH,t,abs_S_total,abs_S0,abs_S1,abs_S2,abs_S3,abs_S4,abs_S5,abs_S6,abs_S7,log_abs_S0,log_abs_S1,log_abs_S2,log_abs_S3,log_abs_S4,log_abs_S5,log_abs_S6,log_abs_S7,pc1_complex,H_complex
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,13569.580000012986,12.783031214810096,1.0,3.352258995660567,5.113868644758032,3.061868768628261,0.7359995012738091,0.07736666671216678,0.0019088862050154261,0.0,0.0,1.2096344456434946,1.6319561911183194,1.1190254382596658,-0.3065258378705976,-2.5591992537817454,-6.261235345750498,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,11435.550000005223,12.934964200700541,1.0,2.9782181258544327,5.139189852741142,3.3615110268119994,0.7661599321498327,0.08365040615746618,0.0012941770670699003,0.0,0.0,1.0913251773331492,1.636895450846114,1.2123905832464288,-0.2663643423275211,-2.4811089961221655,-6.6498802552710155,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,16225.130000022647,12.729443296131834,1.0,3.8365342504538344,4.835234424394821,3.020820372953681,0.7588795887569685,0.07870506347382006,0.002390513669099033,0.0,0.0,1.3445694201218201,1.5759296126099083,1.1055284411709054,-0.27591215876086533,-2.5420477866980704,-6.03624701182242,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,10515.070000001873,12.599360126528657,1.0,2.652881953349183,4.513060502501648,3.626387267980611,1.2115336809260526,0.12557392439411155,0.002155943349380255,0.0,0.0,0.9756465786319806,1.5069755270261393,1.288236909713072,0.19188706190001448,-2.074860654828768,-6.139526902078257,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,12305.280000008386,12.470166566058877,1.0,3.1526961393203137,4.2377833888260525,2.865453681608428,1.3139454532596322,0.24775994119351544,0.009653185213391344,0.0,0.0,1.1482580039938002,1.4440403468895682,1.0527266907221224,0.2730344072218018,-1.3952949806698356,-4.640467344167092,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,15296.90000001927,12.409549071222465,1.0,3.434696430072673,4.2677039321841574,2.9972882976890536,0.9082685633619504,0.06611393272010775,0.0014683690393456068,0.0,0.0,1.2339285462442708,1.4510759618168936,1.0977079791331525,-0.09621516948583715,-2.716375771883534,-6.523602991182779,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,19856.72000003586,12.386343232925336,1.0,3.5763066313093255,4.706944920638006,2.7750433265984777,0.6818018085889568,0.07784498198042333,0.002960552458794611,0.0,0.0,1.2743306006456407,1.549039060765244,1.020666360265154,-0.38301626661397825,-2.5530358403207325,-5.822379386576857,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,19262.120000033694,12.282342314133842,1.0,3.4610774074609254,5.246914062518795,2.6397762149119974,0.35807320936865866,0.013720087285951662,0.0013615798069439057,0.0,0.0,1.2415799300375774,1.6576401061673207,0.9706941464865041,-1.0270178180445992,-4.288894294754805,-6.599109630642984,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,19044.570000032905,12.23278564833962,1.0,3.4750330768594355,4.796741511498173,2.4995751633853214,0.9430872274362735,0.14049684599360177,0.006958784649051559,0.0,0.0,1.2456039974921556,1.5679368356184338,0.9161207827877557,-0.05859650069411299,-1.9625702389044222,-4.967750439272693,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,17789.85000002834,12.326830231050645,1.0,3.4149953358104,4.816537104943741,2.5962624277323387,0.7047414199570247,0.10376533781624453,0.0022924411004100823,0.0,0.0,1.2281761272269158,1.57205522690096,0.9540728829978217,-0.34992432365298076,-2.2656232964243124,-6.078138046460291,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,11901.570000006917,12.19042949576594,1.0,3.50913602307343,4.6948052111779255,2.313032353737333,0.7673895970317607,0.06856524686017348,0.004108045638424223,0.0,0.0,1.2553698599060354,1.5464566232325498,0.8385593709324222,-0.2647606573834522,-2.6799694781550687,-5.494807877331913,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,18264.780000030067,12.126975662873514,1.0,3.342594133508896,4.9122497456347585,2.7136541462163044,0.5552354048780243,0.03818473498917866,0.0034794215329222713,0.0,0.0,1.206747192202906,1.5917320335333476,0.9982961200633037,-0.5883631022297532,-3.265319450847131,-5.660889225184617,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,17938.30000002888,12.060176027720658,1.0,2.997069122330813,4.817518328186814,3.4390983629910283,0.9055096493564226,0.05816881850303831,0.001627334028385725,0.0,0.0,1.0976348519093382,1.5722589258008213,1.2352093332484297,-0.09925734533066304,-2.8444058323704624,-6.420812168568309,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,17825.96000002847,12.19675675809432,1.0,3.131935813363886,4.764599022897437,2.713694226997192,0.650220493963609,0.07510000476799245,0.002736737544847206,0.0,0.0,1.14165128410115,1.5612133830715968,0.9983108899944495,-0.4304437521325777,-2.588934656723469,-5.900988745064338,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,14961.920000018052,12.043906169008826,1.0,3.4985288959778136,4.239542376339357,2.4615274160550076,0.8766138638946056,0.176300015464271,0.004908206580966647,0.0,0.0,1.2523425647031656,1.444455333310351,0.900782058100469,-0.131688675591343,-1.7355681018626556,-5.316846662357758,-690.7755278982137,0.9406531374326456,0.2596092239156882
