t_value,ordinate_type,V_1_real,V_1_imag,V_1_magnitude,V_2_real,V_2_imag,V_2_magnitude,delta_V_real,delta_V_imag,delta_V_magnitude,M_rel,theta_radians,theta_degrees
7912.291401980419,random,0.3980796697426057,0.5088978271610927,0.6460993901495833,0.3751163421418005,0.6910293668949434,0.7862784850503481,-0.022963327600805217,0.18213153973385077,0.18357345173070413,0.2841257158410313,0.7892360062522914,45.21989219801695
8042.422429595377,random,-1.7493585188341423,-1.974013543695167,2.6376096561298703,-1.6154365984576318,-1.8373578244360933,2.446532071862721,0.13392192037651052,0.1366557192590736,0.19133704911372276,0.07254183676081512,3.0914324910784585,177.1260343884102
8745.401188473625,random,2.3364251477217626,0.26097211886908916,2.350954894874353,2.203112191189814,0.4303024611364019,2.24474130692809,-0.1333129565319484,0.16933034226731275,0.2155112739316773,0.09166967618202446,2.1265061407470975,121.8398269734613
9319.450186421158,random,0.37532835249768515,-0.4034652643478154,0.5510495365426589,0.5580128084013389,-0.29136785712999136,0.6295025992865101,0.1826844559036538,0.11209740721782402,0.2143348761489196,0.38895754725369797,1.371879677627886,78.60291552784582
10247.56431632238,random,1.1227154413918214,0.14832089641118884,1.1324703310249902,1.1002372985850883,0.32603435115417617,1.14752800023805,-0.022478142806733103,0.17771345474298733,0.1791293915043751,0.1581757919805691,1.5652650555568908,89.68308150272017
10986.584841970365,random,10.576669899227698,-3.1659093474952478,11.04033188603436,10.578454678312092,-3.036237827758121,11.005564207609364,0.001784779084394117,0.12967151973712676,0.12968380186945533,0.011746368062856958,1.8478748943074683,105.87543251200101
11011.150117432087,random,1.4137243911716297,-1.7923958649473979,2.282827104901754,1.4285021416260282,-1.6654338910209174,2.194148676364303,0.014777750454398442,0.12696197392648045,0.12781910941561428,0.05599158567074891,2.3578850994220284,135.09686477366674
12080.725777960455,random,0.045113057881507934,-0.008495471534773563,0.04590600209143063,0.020201908986301722,0.0231852003877841,0.03075175838407492,-0.024911148895206212,0.03168067192255766,0.04030174081530309,0.8779187683352261,2.4232753062235575,138.843447644882
12319.93941811405,random,-0.7634036768695122,-0.08119275024310094,0.7677092135372149,-0.7756612007298754,-0.06481887961785952,0.7783648151558668,-0.012257523860363273,0.016373870625241413,0.020453619005924562,0.02664240397960662,1.0341480116397115,59.2523164588014
13324.426408004218,random,0.03439343596869944,-0.08076892661042431,0.08778683240402935,0.07898299921579416,-0.04841828851633272,0.09264256488230978,0.04458956324709472,0.03235063809409159,0.05508895475194233,0.6275309547381936,1.7958762417118486,102.89612917790501
13661.761457749351,random,1.603343819830862,-1.133987699530393,1.9638328613392875,1.563361410911922,-1.0695635721787744,1.8942188722690776,-0.039982408918940004,0.06442412735161862,0.07582256397655587,0.03860947918187227,2.741818905890729,157.0946514967158
14507.143064099162,random,0.6526927401996675,-0.45984406359762814,0.7984136621672566,0.5471041492729065,-0.418218072534764,0.6886430906836457,-0.10558859092676098,0.04162599106286413,0.11349746105470605,0.14215370607088873,2.903351112364086,166.34976518307496
14699.098521619942,random,0.04197967002392258,-0.06599246369721029,0.07821315720609316,-0.029102519202331926,0.02932568540295486,0.04131528105041981,-0.0710821892262545,0.09531814910016514,0.11890427735400592,1.5202592709649974,3.067387655954714,175.74836681673173
