function_class,peak_t,N,D_magnitude,R_comp
zeta,3128.4271119933055,200000,7.318007873063358,0.001134125722543203
zeta,3128.4271119933055,500000,7.083186562212411,0.0005638078426584253
zeta,3128.4271119933055,1000000,6.903897222330122,0.0003317314743605389
zeta,3128.4271119933055,2000000,6.854650766448499,0.0003844693676889895
zeta,3128.4271119933055,5000000,7.562250983505612,0.0003659753368107247
zeta,3128.4271119933055,10000000,8.175856109478687,0.00030993979921427995
zeta,4151.709377374702,10000,7.006143610399492,0.004934178673198369
zeta,4151.709377374702,20000,7.0069830092237435,0.004291629807437094
zeta,4151.709377374702,50000,7.007193060797711,0.0025802786722042875
zeta,4151.709377374702,100000,7.008532360218651,0.0005942702038102567
zeta,4151.709377374702,200000,7.00861486290422,0.0011148711819747822
zeta,4151.709377374702,500000,6.938264112341312,0.0006820883005363726
zeta,4151.709377374702,1000000,6.924175090629981,9.024801144316688e-05
zeta,4151.709377374702,2000000,6.91023537981137,0.00023425785720037503
zeta,4151.709377374702,5000000,7.310804239785235,0.0003071096100472352
zeta,4151.709377374702,10000000,7.419087681608816,0.00017980503324181374
zeta,3253.949736546757,10000,6.907338328783993,0.004560588386110092
zeta,3253.949736546757,20000,6.9026104697998,0.002729599954210124
zeta,3253.949736546757,50000,6.865620856748287,0.0038146224989473888
zeta,3253.949736546757,100000,6.874951769460464,0.001963367044837268
zeta,3253.949736546757,200000,6.896559671323855,0.0006532123528281891
zeta,3253.949736546757,500000,6.930150410902979,0.00024944040699587117
zeta,3253.949736546757,1000000,6.887274833432287,0.00028962369004273874
zeta,3253.949736546757,2000000,6.803661544178304,0.0006265306060337296
zeta,3253.949736546757,5000000,6.955156684424945,0.00039355973620649304
zeta,3253.949736546757,10000000,7.185460681313392,0.0003742072984091132
zeta,2528.101516302886,10000,6.844001739793963,0.000538686999954531
zeta,2528.101516302886,20000,6.813698144857434,0.0032507662278672823
zeta,2528.101516302886,50000,6.753387905532796,0.0013097234836003118
zeta,2528.101516302886,100000,6.794852646732682,0.0015109333262849738
zeta,2528.101516302886,200000,6.899015316365091,0.0005481286184334711
zeta,2528.101516302886,500000,7.003720422070372,0.0007538129893092343
zeta,2528.101516302886,1000000,6.843617755748709,0.0008933820164117378
zeta,2528.101516302886,2000000,6.504558443435814,0.0006876200996138022
zeta,2528.101516302886,5000000,6.460875502786966,0.00031375904699818566
zeta,2528.101516302886,10000000,7.154246527126798,0.0003162351857909553
zeta,1332.9078303374145,10000,6.481810666876032,0.0038329526659060236
zeta,1332.9078303374145,20000,6.458074512137603,0.0029268635001539985
zeta,1332.9078303374145,50000,6.712322239102539,0.005214757201814933
zeta,1332.9078303374145,100000,6.791879542493529,0.0018946228715236728
zeta,1332.9078303374145,200000,6.887458942245018,0.0007963920783827675
zeta,1332.9078303374145,500000,6.122503422259488,0.0012199406264813229
zeta,1332.9078303374145,1000000,5.848144465865169,0.00070403313317439
zeta,1332.9078303374145,2000000,5.49632045641928,0.0007121766658773843
zeta,1332.9078303374145,5000000,7.8238954293803165,0.000745154560436764
zeta,1332.9078303374145,10000000,8.694168793234669,0.0007575095725703347
zeta,4975.792695095188,10000,6.80315214796386,0.004743857387367527
zeta,4975.792695095188,20000,6.791591252701672,0.003303843864951081
zeta,4975.792695095188,50000,6.758760313991186,0.00012223742646737872
zeta,4975.792695095188,100000,6.775141706734445,0.0012370318813541316
zeta,4975.792695095188,200000,6.815550050815332,0.0010374335831129559
zeta,4975.792695095188,500000,6.864331359510328,0.0003674784227554048
zeta,4975.792695095188,1000000,6.7980891760627395,0.0005133374132378118
zeta,4975.792695095188,2000000,6.661392839612487,0.0001506213361791774
zeta,4975.792695095188,5000000,6.658014910284433,0.00022855570959173752
zeta,4975.792695095188,10000000,6.933326933891344,0.00026187835933097925
zeta,3796.971525375818,10000,6.773068849155702,0.009531163393271955
zeta,3796.971525375818,20000,6.748133702305598,0.003318657987812384
zeta,3796.971525375818,50000,6.705197090545904,0.0011141276830984024
zeta,3796.971525375818,100000,6.735500756432069,0.0002513740839143155
zeta,3796.971525375818,200000,6.817962935634183,0.00017037578184399252
zeta,3796.971525375818,500000,6.897699983527597,0.0004534852295016665
zeta,3796.971525375818,1000000,6.775348537554218,0.00035041079730784496
zeta,3796.971525375818,2000000,6.510175982268066,0.00021001351640787203
zeta,3796.971525375818,5000000,6.422681966806481,0.00015422894231970338
zeta,3796.971525375818,10000000,6.934217297548611,0.0003610300352036865
L_DH,4580.123552481047,10000,11.345206036021674,0.011985017456536955
L_DH,4580.123552481047,20000,11.333980012020463,0.0108564024857364
L_DH,4580.123552481047,50000,11.337016136749225,0.006495830634355478
L_DH,4580.123552481047,100000,11.336643312486345,0.0038703493955143434
L_DH,4580.123552481047,200000,11.33991370433025,0.0015772577524016482
L_DH,4580.123552481047,500000,11.33903985873717,0.0005598335494001255
L_DH,4580.123552481047,1000000,11.33945027208799,0.00030916561559562507
L_DH,4580.123552481047,2000000,11.338430414100985,0.00011883066587669005
L_DH,4580.123552481047,5000000,11.338685359109013,0.00015899355562552637
L_DH,4580.123552481047,10000000,11.338469036844495,9.440432187936184e-05
L_DH,4779.32250014196,10000,10.977428514692997,0.011047699788557852
L_DH,4779.32250014196,20000,10.974781315002197,0.010461111627823868
L_DH,4779.32250014196,50000,10.976891615437482,0.00775169750252786
L_DH,4779.32250014196,100000,10.98075029868042,0.005341547475594917
L_DH,4779.32250014196,200000,10.982235107796177,0.002506552274620266
L_DH,4779.32250014196,500000,10.981581677633399,0.0007559101928041494
L_DH,4779.32250014196,1000000,10.980518950000324,0.00038429405154234524
L_DH,4779.32250014196,2000000,10.979889941384217,0.00018575180178663763
L_DH,4779.32250014196,5000000,10.980105019317369,0.0002392895800201095
L_DH,4779.32250014196,10000000,10.980380058282675,0.00018698625357134826
L_DH,4113.506839467131,10000,10.908464281513421,0.013743016064117744
L_DH,4113.506839467131,20000,10.91748395048582,0.008831300581792472
L_DH,4113.506839467131,50000,10.91741380445395,0.008027602354104615
L_DH,4113.506839467131,100000,10.914919354173552,0.0035308536468261634
L_DH,4113.506839467131,200000,10.91249514984044,0.001738902097067259
L_DH,4113.506839467131,500000,10.912733103881571,0.0005098978410011735
L_DH,4113.506839467131,1000000,10.913683061876332,4.1001394043944415e-05
L_DH,4113.506839467131,2000000,10.914360513636174,6.564682688339085e-05
