function,T0,sigma,J,X,lambda_min,trace_M_zeros,trace_M_arith,trace_residual,trace_residual_rel,abs_lambda_min,lambda_over_tr,reliable,rho_RvM,tr_over_J,H1_rel_err,source,tr_Mz,tr_Ma,n_zeros_used
Lchi,46.13,1.0,4,50000000,-2.6929030811107126e-14,2.143757248462672,2.143757248462765,-9.281464485866309e-14,4.329531476813533e-14,2.6929030811107126e-14,1.2561604552203115e-14,True,0.5734391343634937,0.535939312115668,0.0653945990090992,r12_sigma1_X5e7,,,
Lchi,46.13,1.0,8,50000000,-3.6598251428027624e-14,4.439459189838324,4.439459189838499,-1.749711486809247e-13,3.9412716999724633e-14,3.6598251428027624e-14,8.243853555811256e-15,True,0.5734391343634937,0.5549323987297905,0.0322732344632274,r12_sigma1_X5e7,,,
Lchi,46.13,1.0,12,50000000,-4.2787924381048905e-14,6.557401120660579,6.5574011206608285,-2.495781359357352e-13,3.806052601378657e-14,4.2787924381048905e-14,6.5251345149888506e-15,True,0.5734391343634937,0.5464500933883816,0.0470652234174241,r12_sigma1_X5e7,,,
Lchi,46.13,1.0,16,50000000,-5.6137432676013687e-14,8.962534771880698,8.96253477188104,-3.428368700042484e-13,3.8252222025388856e-14,5.6137432676013687e-14,6.263566513810446e-15,True,0.5734391343634937,0.5601584232425436,0.0231597572001977,r12_sigma1_X5e7,,,
Lchi,46.13,1.0,20,50000000,-1.7936515945464853e-12,12.036089977028013,12.03608997702759,4.209965709378594e-13,3.4977851755958143e-14,1.7936515945464853e-12,1.4902278048517708e-13,True,0.5734391343634937,0.6018044988514006,0.0494653447734988,r12_sigma1_X5e7,,,
Lchi,46.13,1.0,24,50000000,-1.6317291439310944e-09,14.027858336861696,14.02785833633191,5.297859928532489e-10,3.776670537519645e-11,1.6317291439310944e-09,1.1632061749891782e-10,True,0.5734391343634937,0.5844940973692373,0.0192783546557463,r12_sigma1_X5e7,,,
Lchi,46.13,1.0,28,50000000,-5.18162585768086e-07,16.23978770683965,16.239787601245407,1.0559424268308248e-07,6.502193537826221e-09,5.18162585768086e-07,3.1906980258729214e-08,False,0.5734391343634937,0.5799924181014161,0.0114280371624731,r12_sigma1_X5e7,,,
Lchi,60.0,1.0,4,50000000,-3.0621326918581566e-14,2.5890878100005814,2.589087810000676,-9.459100169806336e-14,3.65344896116297e-14,3.0621326918581566e-14,1.1827071604255354e-14,True,0.6152779552481787,0.6472719525001454,0.0519992581874016,r12_sigma1_X5e7,,,
Lchi,60.0,1.0,8,50000000,-3.6012852202070066e-14,5.076203057360596,5.076203057360782,-1.865174681370263e-13,3.674350021648016e-14,3.6012852202070066e-14,7.094446734129501e-15,True,0.6152779552481787,0.6345253821700745,0.031282490714513,r12_sigma1_X5e7,,,
Lchi,60.0,1.0,12,50000000,-5.1964773904255976e-14,7.533463627384144,7.533463627384437,-2.9309887850104133e-13,3.8906257864659596e-14,5.1964773904255976e-14,6.897859533742753e-15,True,0.6152779552481787,0.6277886356153454,0.02033337983338,r12_sigma1_X5e7,,,
Lchi,60.0,1.0,16,50000000,-6.436938457822438e-14,9.512538758095832,9.51253875809621,-3.783640067922534e-13,3.977529200290924e-14,6.436938457822438e-14,6.766793409744751e-15,True,0.6152779552481787,0.5945336723809895,0.0337153032873114,r12_sigma1_X5e7,,,
