function,GRH,t,P_t,reS0,reS1,reS2,reS3,reS4,reS5,reS6,reS7,imS0,imS1,imS2,imS3,imS4,imS5,imS6,imS7
F1,True,70197.100000219,3.777189415787085,1.0,4.697043036840781,6.3338046296678705,4.765560254490431,3.7723153899135857,1.6354990808177268,0.1810757161687908,-0.0002806859814818157,0.0,0.773411108280646,2.1651306697179087,1.3150504602990163,-0.015666249226745182,-0.48764343095507656,-0.12039157332593045,-0.003864518146173599
F1,True,58204.500000175365,3.4386930068689696,1.0,5.061910815945778,8.142762890068468,6.098725045542659,2.3571859891830313,-0.07907468052725632,-0.1226901152085458,-0.003915445534511531,0.0,0.04064909243134078,-0.4116383018283408,-0.7012494491305261,1.0491186252058442,0.9402016725656,0.08167698750128122,-0.0021385563384855016
F1,True,65410.80000020158,3.5691105805241903,1.0,4.353636370139809,7.680235228154031,4.729056296814352,2.991975726207431,1.7072977274255958,0.2718427672372618,0.002255185611007273,0.0,0.3766546960662665,0.44267660068565234,0.2747815303434577,-0.013989674060997786,-0.4421783031896736,-0.1623058007245586,-0.0034903757373363855
F1,True,80875.00000025785,3.9169852738490656,1.0,3.7929183547445584,5.238930311274568,4.715291808933798,4.45490962906685,2.1683967063384837,0.3122738843409355,0.003737665798956429,0.0,1.277235733456578,2.3071562015440383,1.1843954826050258,1.249884486940697,0.48322160229299627,0.06269513566714953,-0.0038363682897677
F1,True,73777.60000023202,3.7460418635632036,1.0,4.550914785980861,6.6576449496426475,4.794407586241423,3.367247838644654,1.5739221547392237,0.23306297889039654,0.0013976264201354253,0.0,0.8657623897094177,1.1834583498552913,-0.11302259024922585,0.6413174871283596,0.3670124105377519,-0.028817693954619368,-0.0029247011282639416
F1,True,92079.1000002986,3.452630002619874,1.0,4.163812350901321,7.332793168590629,5.847106822979008,3.2762992770609203,0.6914681185518476,0.05682345359952254,0.0022720504861872617,0.0,0.591102376609613,1.642470052579796,0.46472171502445764,-1.9991565241741316,-0.9553617821976251,-0.11424582234093292,-0.001970740193425565
F1,True,95533.50000031116,3.772968791148458,1.0,4.0276597092366595,6.42526617101271,5.775845585307721,4.107894284341701,1.1905229577466396,0.05918840139008159,0.004371590394343337,0.0,-0.7384816031234726,-1.181580334778606,-0.5453727545822014,0.6881708834364484,0.4950077925543113,0.07294722091869656,0.0007756484840010774
F1,True,99937.9000003272,3.8734622760700925,1.0,3.213962412589276,5.077175188404957,4.89048640778937,4.41026621386897,2.6677723329955896,0.5776392636267377,0.006368885920404258,0.0,0.5192717806768232,1.120415725438711,0.2563013496477317,0.9921183534922465,1.2288541259396166,0.20387661604794852,-0.0021900636917630625
F1,True,73406.00000023068,3.411916697824132,1.0,4.960949120429771,7.556529813402406,5.031291683669857,1.7941358536799061,0.4044893430319219,-0.015443513346024229,0.00038675682922486914,0.0,0.9375331429463752,2.422461836360091,2.357996454043239,1.402599610444354,0.23830935403959688,-0.04935223727970613,-0.0034292430788996856
F1,True,36603.10000009678,3.4422022482847114,1.0,4.182149087382728,7.820876754396365,5.807127685951132,2.3590707505780575,0.8322102099872093,0.0845097174616833,-0.0003099535034116555,0.0,0.3264377358564,-0.3155750614193469,-0.2098722922436553,-0.04298542616301683,-0.7040255746021511,-0.2885362046488386,-0.005784875535163587
F1,True,98633.60000032245,3.4801579671802436,1.0,3.8949593674344607,6.315619564339436,6.066091043986892,3.6893786989585142,0.8104672641621347,0.06563792174242238,0.0019034660711187926,0.0,-1.0115793617479856,-2.4199669479023878,-1.4262877605819244,1.7271705145903709,1.2439117305724885,0.17625051446240037,0.0037111369044909672
