orig_index	refined_dps80	seconds
33	69.043397874889933144520168043051651011136899795249002624549412509193866792871778	0.091
41	79.792939091235673415705377299619651534039550753230810988815705956855547889066137	0.094
49	89.022890340743602269865932390206788189280565488872591423628427061900175462663035	0.115
57	98.709804088180764960780701051841142127110656389984913426872687059007711623103646	0.150
65	107.42670755392653787134263186935449496502781198682230250734447421312502938599440	0.149
73	116.46348398369597518280869541068860524583789743163474421520578937465708625283449	0.174
81	124.60624049116797789072327482002761445254314739861511199710706999834103618172152	0.206
89	132.96854278614411012056939896054490739191200878658560672414425871332035814002678	0.255
97	140.89653322681011633331367601469913849763601202940993450167490501712457202113730	0.221
105	149.04126788157138554963642539103633240020143729829711943041616796028230129025187	0.225
113	157.09578319229446666581231001427975450364817015910642823275016391956258707729272	0.244
121	164.33890522843372713978983883951143624814135179422019555010589216734468766566904	0.290
129	172.21692674977080488493920095488314674084054476827032834696530553648793794793539	0.487
137	180.07634853432383714836061264332674557850934786430270013870749356375954194912816	0.281
145	187.07574026660777249457439736791959924395486151025794813519696194995388491210241	0.317
153	194.83718050897500582853416943077039462935446356140543911823004013602271449062932	0.479
161	201.84371496195033201038626708058840365535560132073110619872382052113030943057659	0.352
169	208.88624300015893227968880205316692088142818795802237928914336110152175134183354	0.396
177	216.42371951304504498079417004185793457246312553008821149813645914456622315385642	0.423
185	223.31966398659092934729958651936251405119785688648388578593342120323436647425986	0.420
193	230.57189984999868376183051082836017374556510676330098708912637134054117328032349	0.425
201	237.34733354715783110989344555912571095442696557197683315655922444114766213663678	0.526
209	243.93419776491764051794284773044600329789124649127351554865815148440122593041725	0.612
217	251.07109856554603442426197066710827893719262269843273331297027877121852802097166	0.547
225	257.80643804843172538701068569751579532853172891342532090792897638634258119941620	0.552
233	264.33338991302218158347544497384447090555555170335497090596624581629960587033047	0.587
241	271.41621227734449730171780779112763663110047312215767704443239865198842449122341	0.596
249	277.83969038792648836679408196641602526422509599628824201085001256407258157163257	0.630
257	284.38992596825999759661409949518969353931241583840246049397646566137494253931775	0.632
265	291.10133811600617025037170625590997388019807560273617655240479170275012994289582	0.638
273	297.55341558045030565263374976135832004133180332068304388918977867209783978847272	0.758
281	303.96883727469603344119609077375961385686654388393455150914492805479503983312688	0.964
289	310.56220905250301914299886847654748569716439117244889326608803638503897040490678	0.754
297	317.09601507687393434447587480392148732138026244070941909830817027821113614774587	0.517
305	323.43607299662892085846249302268272978730582352504460497012483205217768374812842	0.802
313	329.65814175904462120602766454303923920217507117590250616582708272900540711811806	0.858
321	335.87782986145803333393857351575239800918086820665726174561240991801756984536979	0.919
329	342.38006013242214168268745750544357747646928997378272182675991689108536848379238	0.900
337	348.68201975117308654559260262952956074285946308837108427701895388625670583697734	0.993
345	354.98552226044300873481340220147119921168134353343675237105807016843438245771357	0.991
353	361.44600804865165326395004334723964389293672024233665397463225705141715430785246	1.024
361	367.67303265502321894315813633731016053080003599189174910579903266389060219163403	1.044
369	373.32007224862329390145153219663395520394402230650102072573965165423534552449453	1.122
377	379.69297321329517147771666573259414876317942949459216625703405161580045431219009	1.238
385	385.75742437358327773592795798866708367800412680211661537709364681682460612969585	1.203
393	391.77840467958763180901294348242280723407684995169320867651903102076489410546105	1.262
401	397.82669287911157547141000289039259948045911781888966676959171799674840322400217	1.274
409	403.81963495884675852205011632899448891431568145524916169733038796131537439938946	1.247
417	409.75671194600064594351859520476787238669881502055140719228694653817337689118041	1.359
425	415.92580060440444876974273551888036756176985581358561099059293625234758075242447	1.426
433	421.79485851051251615187121033445980101136998810055134859516718010832633683057139	1.452
441	427.90325090452626582422651835142152762175466778486565149952070406113800760345027	1.457
449	433.96770336319963107973134343340396000194046179583089582758367373004171879041484	1.598
457	439.49461764334584161959673820289223345292398927167837900923816563080416766375964	1.687
465	445.60348285866344000089462305744337994753133933193898238316406531793588619874844	1.596
473	451.76002598286785638697483608365620317574314433223475363842186853467311672629489	1.625
481	457.73717868703018828852516665372095033206178703254104281943622278667883441327244	1.653
