Function,Peak_Index,t_value,Peak_Magnitude,M_coh,R_comp,CAS,Class
f_rand,47,5788.0,11.076129297868732,1.848336733729178,0.0230609110158786,1.0767689304486086,Multiplicative
f_rand,48,2310.0,11.01470474971489,1.692682450309295,0.0280734245408274,1.0767689304486086,Multiplicative
f_rand,49,2043.0,10.984618946564291,1.993539173599423,0.0244098233302155,1.0767689304486086,Multiplicative
"L(s,χ_4) mod4",0,7312.0,10.890697533887089,1.9917704169247727,0.0092496385806475,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",1,7964.0,10.845519863501105,1.9012406554402488,0.0127396258162585,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",2,8507.0,10.676141754641138,2.080313277765274,0.0208550398808526,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",3,5688.0,10.383112655308008,2.02768264870795,0.0144406140313606,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",4,8187.0,10.207692553103533,1.8913720848966156,0.0132770193836535,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",5,6992.0,9.908112890198597,1.9980059630240192,0.0153489608553829,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",6,5161.0,9.668912764258478,2.108370846761235,0.022825505425302,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",7,4115.0,9.5093087515754,1.9769737700140952,0.0071999924026548,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",8,9159.0,9.471941417003206,1.9701524979154303,0.0128517311403647,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",9,9514.0,9.208903831574652,1.896527965569109,0.0105619912387322,4.698965661369485,Multiplicative
