n,b_zeta_W1,b_delta_W1,b_zeta_W2,b_delta_W2
186,1350.7023972142003,1350.7023972142003,1353.2704017575966,1353.2704016945147
187,1350.8708657092654,1350.8708657092654,1352.9296425203524,1352.9296426245642
188,1351.1816499243835,1351.1816499243835,1352.4752063910298,1352.4752063427566
189,1351.6159858965482,1351.6159858965482,1351.9614012007812,1351.9614011489496
190,1352.1350808466448,1352.1350808466448,1351.449096116483,1351.449096218446
191,1352.6823954170561,1352.6823954170561,1350.9955521432769,1350.9955520867406
192,1353.1898884569594,1353.1898884569594,1350.645562142715,1350.6455621014786
193,1353.587824524657,1353.587824524657,1350.4254574588053,1350.4254575574791
194,1353.8165013270827,1353.8165013270827,1350.3406302530805,1350.340630190316
195,1353.837278965587,1353.837278965587,1350.3764377680695,1350.3764377364846
196,1353.640156121617,1353.640156121617,1350.5018532805134,1350.5018533751652
197,1353.2460342717188,1353.2460342717188,1350.6749868745633,1350.6749868069496
198,1352.7033500542998,1352.7033500542998,1350.8495486824597,1350.8495486600275
199,1352.080207271311,1352.080207271311,1350.9814211371395,1350.9814212270398
200,1351.4539298559753,1351.4539298559753,1351.034688797901,1351.0346887261594
201,1350.8999814208723,1350.8999814208723,1350.986633550367,1350.9866335370905
202,1350.4817431705937,1350.4817431705937,1350.831222875762,1350.8312229600904
203,1350.2421023012275,1350.2421023012275,1350.5805112201315,1350.5805111449338
204,1350.197453121772,1350.197453121772,1350.2633461166142,1350.2633461123496
205,1350.3346392300348,1350.3346392300348,1349.9210877992623,1349.9210878774184
206,1350.6114696349803,1350.6114696349803,1349.6007778376656,1349.6007777601112
207,1350.961476531964,1350.961476531964,1349.3470581813604,1349.3470581852846
208,1351.3032379418155,1351.3032379418155,1349.1946917847083,1349.1946918566045
209,1351.553673780217,1351.553673780217,1349.163435189964,1349.1634351113319
210,1351.6433792534706,1351.6433792534706,1349.256248108856,1349.2562481198245
211,1351.5308301881437,1351.5308301881437,1349.460688554614,1349.460688620367
212,1351.211908502291,1351.211908502291,1349.752302368554,1349.7523022897751
213,1350.7220949301077,1350.7220949301077,1350.0983604049666,1350.0983604223418
214,1350.130634282289,1350.130634282289,1350.4607328065179,1350.4607328658208
215,1349.5281563210067,1349.5281563210067,1350.797889554782,1350.7978894763482
216,1349.0106895786698,1349.0106895786698,1351.0672791236952,1351.0672791475627
217,1348.6632724173849,1348.6632724173849,1351.2296606991897,1351.2296607511983
218,1348.5456811651136,1348.5456811651136,1351.255772611854,1351.25577253423
219,1348.6818404719575,1348.6818404719575,1351.1335621982496,1351.1335622285937
220,1349.0538955934894,1349.0538955934894,1350.8726751796917,1350.87267522384
221,1349.60191454521,1349.60191454521,1350.5034796898824,1350.5034796138582
222,1350.2303982766282,1350.2303982766282,1350.0705313282572,1350.0705313641647
223,1350.8224760488351,1350.8224760488351,1349.6232872926582,1349.6232873294339
224,1351.2611762585595,1351.2611762585595,1349.2079486884852,1349.2079486149125
225,1351.454475570499,1351.454475570499,1348.8628848593132,1348.8628848993958
226,1351.3580155044951,1351.3580155044951,1348.617386038554,1348.6173860688834
227,1350.9883003542736,1350.9883003542736,1348.491499062679,1348.4914989921308
228,1350.4212605229782,1350.4212605229782,1348.4947096632588,1348.4947097066033
229,1349.7758284019737,1349.7758284019737,1348.6230520718314,1348.6230520959812
230,1349.187232803785,1349.187232803785,1348.8564619812475,1348.8564619141466
231,1348.7774406618112,1348.7774406618112,1349.1592013373709,1349.1592013836384
232,1348.6297030543897,1348.6297030543897,1349.4851190231946,1349.4851190408242
233,1348.7717669223366,1348.7717669223366,1349.7869182855522,1349.7869182223412
234,1349.1699312024446,1349.1699312024446,1350.0262306776146,1350.0262307263445
235,1349.7346917084396,1349.7346917084396,1350.1809446062507,1350.180944617497
236,1350.3377307682192,1350.3377307682192,1350.2481978050864,1350.2481977461518
237,1350.8383935683823,1350.8383935683823,1350.243956798483,1350.2439568488717
238,1351.1151738527553,1351.1151738527553,1350.2007991661947,1350.2007991720614
239,1351.0950539977466,1351.0950539977466,1350.1637993246625,1350.1637992703218
240,1350.772580870338,1350.772580870338,1350.1823562614695,1350.1823563129929
241,1350.2126123406204,1350.2126123406204,1350.2962513504035,1350.2962513517416
242,1349.5354556439215,1349.5354556439215,1350.5180086857322,1350.5180086366377
243,1348.8886787498177,1348.8886787498177,1350.8184649258258,1350.8184649786106
244,1348.4136669438692,1348.4136669438692,1351.1244753987883,1351.1244753957885
245,1348.2154888218417,1348.2154888218417,1351.3341619074681,1351.3341618648092
246,1348.3422222941979,1348.3422222941979,1351.346731022522,1351.3467310770013
247,1348.7763712138203,1348.7763712138203,1351.0953820504114,1351.0953820440848
248,1349.4382036149873,1349.4382036149873,1350.5694219690777,1350.5694219346656
249,1350.1996148482806,1350.1996148482806,1349.8177926456417,1349.8177927034378
250,1350.90712809467,1350.90712809467,1348.9361082823766,1348.9361082775529
251,1351.4124918587615,1351.4124918587615,1348.045279474619,1348.0452794534876
252,1351.6071490416273,1351.6071490416273,1347.268777230152,1347.2687772988322
253,1351.4522307162315,1351.4522307162315,1346.7112724678636,1346.7112724782203
254,1350.9919731949533,1350.9919731949533,1346.4390834776716,1346.4390834869744
255,1350.341160162837,1350.341160162837,1346.4641600164541,1346.464160120965
256,1349.6480209715933,1349.6480209715933,1346.735954658622,1346.7359547205344
257,1349.0466736893836,1349.0466736893836,1347.1464177551734,1347.1464178447184
258,1348.6184101385365,1348.6184101385365,1347.5509334805076,1347.5509336901193
259,1348.3755347045433,1348.3755347045433,1347.80276781583,1347.8027680268926
260,1348.2698626219444,1348.2698626219444,1347.7927628282653,1347.792763136187
261,1348.2178730914168,1348.2178730914168,1347.4825706610145,1347.4825711754768
262,1348.1306642323154,1348.1306642323154,1346.920616842625,1346.920617497923
263,1347.9394507130785,1347.9394507130785,1346.2348615919989,1346.2348625564111
264,1347.6126620459554,1347.6126620459554,1345.6031542929243,1345.6031557665538
265,1347.1639513710843,1347.1639513710843,1345.2080943399676,1345.208096409717
266,1346.6500858486518,1346.6500858486518,1345.187119723672,1345.1871227589927
267,1346.1571099921086,1346.1571099921086,1345.589710690371,1345.5897151443883
268,1345.7763675414692,1345.7763675414692,1346.3530567040161,1346.3530630073637
269,1345.5780121535709,1345.5780121535709,1347.3058834186636,1347.3058923667213
270,1345.5928995076172,1345.5928995076172,1348.2057526560764,1348.2057652427407
271,1345.8098773522754,1345.8098773522754,1348.805400041651,1348.805417476608
272,1346.186241299066,1346.186241299066,1348.929792755303,1348.929817009283
273,1346.6614982497283,1346.6614982497283,1348.5356498680273,1348.5356838032956
274,1347.165249835098,1347.165249835098,1347.7286751513248,1347.7287230070833
275,1347.6190175909646,1347.6190175909646,1346.7312884332578,1346.731356914866
276,1347.9408539965623,1347.9408539965623,1345.8143130334156,1345.8144121504736
277,1348.0606619730186,1348.0606619730186,1345.2173923476332,1345.217536760711
278,1347.9426635837171,1347.9426635837171,1345.081615799195,1345.081826808936
279,1347.6010795279728,1347.6010795279728,1345.4100967403372,1345.4104041212718
280,1347.0979127429441,1347.0979127429441,1346.0652963139971,1346.0657408356744
281,1346.525405033103,1346.525405033103,1346.8068556673807,1346.8074928888059
282,1345.9852204866695,1345.9852204866695,1347.3658469173004,1347.3667527667985
283,1345.5723202008003,1345.5723202008003,1347.537344246892,1347.538625163125
284,1345.361151744454,1345.361151744454,1347.2588142130041,1347.2606244765252
285,1345.38897627962,1345.38897627962,1346.6401927841814,1346.64276082265
286,1345.6392649510003,1345.6392649510003,1345.9298101783702,1345.9334759011176
287,1346.0370252372068,1346.0370252372068,1345.4287682317529,1345.4340308889157
288,1346.4660982851208,1346.4660982851208,1345.3860216797518,1345.3935945969304
289,1346.805486366677,1346.805486366677,1345.9082310376664,1345.919098296696
290,1346.9692568802225,1346.9692568802225,1346.9098025788421,1346.9252738478967
291,1346.9341057857473,1346.9341057857473,1348.1201640241363,1348.1419379807978
292,1346.7483384016555,1346.7483384016555,1349.1567013480012,1349.1869840090997
293,1346.5228525906027,1346.5228525906027,1349.652872618286,1349.6946448064894
294,1346.4027990505435,1346.4027990505435,1349.40027108211,1349.4578346636388
295,1346.5180244480161,1346.5180244480161,1348.441476315113,1348.5214047329785
296,1346.9220682551868,1346.9220682551868,1347.0651808238447,1347.1777564986824
297,1347.5472232450384,1347.5472232450384,1345.7054743469523,1345.866640057844
298,1348.2078531136292,1348.2078531136292,1344.7955753104584,1345.0293382892114
299,1348.6634488716627,1348.6634488716627,1344.6375290759056,1344.9785349703798
300,1348.7162900370345,1348.7162900370345,1345.3270291590954,1345.8225771667996
301,1348.294562341087,1348.294562341087,1346.7454770313127,1347.455651019508
302,1347.4822881075927,1347.4822881075927,1348.6170470172592,1349.6112387884755
303,1346.490954790588,1346.490954790588,1350.6200069232946,1351.968349772409
304,1345.592040317506,1345.592040317506,1352.5248493709878,1354.2838167375014
305,1345.03255996286,1345.03255996286,1354.3075935467182,1356.498982734782
306,1344.9529623831477,1344.9529623831477,1356.1745834834912,1358.7553990836009
307,1345.3305501346524,1345.3305501346524,1358.4556765077668,1361.2766589542218
308,1345.9745762477116,1345.9745762477116,1361.3763403206644,1364.1390205404714
309,1346.5878797929256,1346.5878797929256,1364.7912803360512,1367.043193797127
310,1346.8820615632071,1346.8820615632071,1368.0372850264014,1369.267544520914
311,1346.7022871472025,1346.7022871472025,1370.0892079551638,1369.9396162199018
312,1346.1053617657644,1346.1053617657644,1370.0595050477325,1368.5349624710802
313,1345.3523121492476,1345.3523121492476,1367.756397785046,1365.2483717704306
314,1344.8143705453915,1344.8143705453915,1363.8482487223187,1360.9306451023708
315,1344.8272419383218,1344.8272419383218,1359.4964793840186,1356.6661908473477
316,1345.5480061292712,1345.5480061292712,1355.7831040040974,1353.3261191944675
317,1346.8708856124936,1346.8708856124936,1353.318085833035,1351.323685851777
318,1348.4459285107287,1348.4459285107287,1352.1397021492085,1350.580503539248
319,1349.8142791736857,1349.8142791736857,1351.826341743406,1350.6315879136316
320,1350.6208428868695,1350.6208428868695,1351.7248408236812,1350.8217978941861
321,1350.8117369476843,1350.8117369476843,1351.2268606548691,1350.554982989648
322,1350.715655981398,1350.715655981398,1350.0097892937836,1349.5205199853215
323,1350.9617113658337,1350.9617113658337,1348.146853627376,1347.7996775801398
