n,lambda_zeta,lambda_delta,abs_diff,rel_diff
62,59.0319696141508,59.032090502946225,0.00012088879542204722,2.0478529890195033e-06
63,60.39590648869409,60.39602932355121,0.00012283485712316633,2.03382752680698e-06
64,61.76426326567825,61.764388046416904,0.00012478073865196393,2.020274055811547e-06
65,63.13729010814879,63.137416834585935,0.0001267264371449528,2.00715673618366e-06
66,64.51526145415336,64.51539012610313,0.00012867194976706742,1.9944420415703635e-06
67,65.8984728732786,65.89860349055225,0.0001306172736406097,1.982098642737655e-06
68,67.28723786245956,67.2873704248655,0.0001325624059376196,1.9700973044634057e-06
69,68.68188459831799,68.6820191056618,0.00013450734380171525,1.958410788934719e-06
70,70.08275266340813,70.08288911549248,0.0001364520843480932,1.947013768186906e-06
71,71.49018976378187,71.49032816040666,0.0001383966247914259,1.9358827448733385e-06
72,72.90454845523254,72.90468879619476,0.00014034096221848813,1.9249959733947918e-06
73,74.32618289543382,74.32632518052763,0.00014228509381553067,1.9143333919852337e-06
74,75.7554456389637,75.75558986798042,0.00014422901671196087,1.9038765529719065e-06
75,77.19268449188917,77.19283066461723,0.00014617272806560777,1.8936085592536493e-06
76,78.63823944219105,78.63838755841608,0.00014811622503430044,1.8835140013934876e-06
77,80.09243968183057,80.09258974133532,0.00015005950474744623,1.8735788963797552e-06
78,81.55560073570193,81.5557527382663,0.00015200256437708504,1.8637906287966819e-06
79,83.02802171208312,83.02817565748417,0.00015394540105262422,1.8541378907769454e-06
80,84.509982688492,84.51013857650393,0.00015588801193189283,1.8446106243626128e-06
81,86.00174224608104,86.00190007647521,0.00015783039417271993,1.835199962822986e-06
82,87.50353516486565,87.50369493741057,0.00015977254491872372,1.8258981722017953e-06
83,89.01557029118294,89.01573200564427,0.00016171446132773326,1.8166985932769023e-06
84,90.5380285878224,90.53819224396294,0.00016365614054336675,1.8075955827182538e-06
85,92.07106137626648,92.0712269738462,0.00016559757970924238,1.7985844545931248e-06
86,93.61478877942739,93.61495631820337,0.00016753877598318923,1.7896614217433052e-06
87,95.16929837217648,95.16946785190301,0.00016947972652303633,1.780823536811795e-06
88,96.73464404583801,96.73481546626648,0.0001714204284724019,1.7720686333551175e-06
89,98.31084509166433,98.31101845254334,0.00017336087900332586,1.7633952677518478e-06
90,99.89788550713445,99.89806080820969,0.00017530107524521554,1.7548026602895013e-06
91,101.49571352772367,101.49589076873802,0.0001772410143559,1.7462906382493329e-06
92,103.10424138558899,103.10442056628247,0.00017918069347899745,1.737859578529829e-06
93,104.72334529540615,104.72352641551595,0.00018112010980075866,1.729510352155488e-06
94,106.35286566638786,106.35304872564829,0.0001830592604363801,1.7212442682137788e-06
95,107.99260753831383,107.99279253645639,0.0001849981425579017,1.7130630213949384e-06
96,109.64234123821859,109.6425281749719,0.00018693675330894166,1.704968638920127e-06
97,111.30180325321766,111.30199212830752,0.0001888750898615399,1.6969634304292339e-06
98,112.9706973138143,112.97088812696366,0.0001908131493593146,1.6890499385806796e-06
99,114.64869568092108,114.64888843185001,0.00019275092893167312,1.6812308922215605e-06
