n,a_zeta_W1,a_delta_W1,a_zeta_W2,a_delta_W2
115,2738.8504619414534,2738.8504619414534,2737.086556762074,2737.0865570039714
116,2738.948755475283,2738.948755475283,2736.935131080269,2736.935131124503
117,2739.0137106786487,2739.0137106786487,2736.8472095860056,2736.8472092987936
118,2739.039994731199,2739.039994731199,2736.8305730469183,2736.830573309615
119,2739.022806267991,2739.022806267991,2736.889480511657,2736.889480516002
120,2738.958536822388,2738.958536822388,2737.0239274646365,2737.023927199487
121,2738.8455138439635,2738.8455138439635,2737.229229008422,2737.229229287223
122,2738.6847536156956,2738.6847536156956,2737.4960314408204,2737.496031406304
123,2738.4806247036854,2738.4806247036854,2737.8107928881623,2737.8107926486273
124,2738.2413030314196,2738.2413030314196,2738.1566964072267,2738.1566966969945
125,2737.9788964712898,2737.9788964712898,2738.514885737519,2738.5148856664296
126,2737.7091371646675,2737.7091371646675,2738.86586300546,2738.865862794033
127,2737.450586902451,2737.450586902451,2739.1908713317544,2739.190871627368
128,2737.2233714267754,2737.2233714267754,2739.473105879958,2739.473105775385
129,2737.047541961613,2737.047541961613,2739.6986469826365,2739.698646800898
130,2736.9412383314993,2736.9412383314993,2739.8570744067197,2739.857074703468
131,2736.9188770989654,2736.9188770989654,2739.941786201445,2739.9417860666485
132,2736.9895943302145,2736.9895943302145,2739.950094567849,2739.950094416924
133,2737.1561314343203,2737.1561314343203,2739.883195108956,2739.8831954025995
134,2737.4142743446937,2737.4142743446937,2739.7461004568786,2739.7461002948507
135,2737.7528637952055,2737.7528637952055,2739.547595565578,2739.547595446617
136,2738.154314751168,2738.154314751168,2739.300215507763,2739.3002157943265
137,2738.5955377920864,2738.5955377920864,2739.0201778344153,2739.0201776478343
138,2739.049152653698,2739.049152653698,2738.7271364263565,2738.7271363407203
139,2739.4849168137757,2739.4849168137757,2738.4435839724347,2738.4435842479515
140,2739.871340556374,2739.871340556374,2738.193740378176,2738.193740169772
141,2740.1775004700526,2740.1775004700526,2738.001844281677,2738.001844230637
142,2740.375075467706,2740.375075467706,2737.8899165505836,2737.8899168110443
143,2740.4406022716926,2740.4406022716926,2737.875259970735,2737.8752597438065
144,2740.357881907749,2740.357881907749,2737.9681368421634,2737.9681368261154
145,2740.1203769272565,2740.1203769272565,2738.1701471715664,2738.1701474132756
146,2739.7333399458475,2739.7333399458475,2738.4737536797043,2738.4737534384044
147,2739.215330020607,2739.215330020607,2738.863161150291,2738.863161168005
148,2738.5987275713806,2738.5987275713806,2739.31642432819,2739.316424548388
149,2737.928874725621,2737.928874725621,2739.8083476358916,2739.8083473848646
150,2737.2615698578334,2737.2615698578334,2740.313563838434,2740.313563887063
151,2736.6588502147974,2736.6588502147974,2740.809191751353,2740.8091919485328
152,2736.1833005763397,2736.1833005763397,2741.276650673561,2741.276650417249
153,2735.8914825962142,2735.8914825962142,2741.7024695982664,2741.7024696742405
154,2735.827392046737,2735.827392046737,2742.078178434418,2742.078178608009
155,2736.0169953465343,2736.0169953465343,2742.3995404053244,2742.3995401475067
156,2736.464778113529,2736.464778113529,2742.6654575299444,2742.6654576299397
157,2737.1528570074365,2737.1528570074365,2742.876868857559,2742.8768690072907
158,2738.0426797603814,2738.0426797603814,2743.0358943845467,2743.035894128343
159,2739.0788561309782,2739.0788561309782,2743.145384513435,2743.145384634872
160,2740.194387940698,2740.194387940698,2743.208932019076,2743.2089321444523
161,2741.316552384976,2741.316552384976,2743.2312965570877,2743.2312963052555
162,2742.37286540891,2742.37286540891,2743.219084251157,2743.2190843921044
163,2743.296767427027,2743.296767427027,2743.1814285248524,2743.1814286250788
164,2744.0328071189724,2744.0328071189724,2743.1303591586016,2743.1303589138356
165,2744.5411075698066,2744.5411075698066,2743.080560067882,2743.0805602265928
166,2744.800828444876,2744.800828444876,2743.048328966441,2743.0483290407683
167,2744.8122781667585,2744.8122781667585,2743.049755990685,2743.0497557556787
168,2744.5973525540253,2744.5973525540253,2743.098376576795,2743.0983767510725
169,2744.19809249673,2744.19809249673,2743.202734725875,2743.202734774274
170,2743.673319050109,2743.673319050109,2743.3643349205895,2743.3643346977383
171,2743.0934651137677,2743.0934651137677,2743.5763445545604,2743.5763447414993
172,2742.5338630710708,2742.5338630710708,2743.8231954784487,2743.823195501933
173,2742.0669053976058,2742.0669053976058,2744.081035739035,2744.081035530107
174,2741.7537234338033,2741.7537234338033,2744.318901033398,2744.318901229768
175,2741.6363279059524,2741.6363279059524,2744.5005427337655,2744.5005427339543
176,2741.7314230061006,2741.7314230061006,2744.5870146335637,2744.587014439808
177,2742.0271665193236,2742.0271665193236,2744.5402710379626,2744.540271240881
178,2742.483843753713,2742.483843753713,2744.3280308002627,2744.3280307784266
179,2743.038730753779,2743.038730753779,2743.929905729354,2743.9299055521346
180,2743.6145107899542,2743.6145107899542,2743.344240747441,2743.344240954666
181,2744.129781753557,2744.129781753557,2742.5943591829127,2742.5943591393548
182,2744.509753507021,2744.509753507021,2741.73221380382,2741.7322136452235
183,2744.6953432614023,2744.6953432614023,2740.8372271293147,2740.837227338922
184,2744.6494799560164,2744.6494799560164,2740.0087761868726,2740.0087761213813
185,2744.360283001296,2744.360283001296,2739.3524634943374,2739.3524633569364
186,2743.8415536566654,2743.8415536566654,2738.9625800832514,2738.9625802929145
187,2743.131412157519,2743.131412157519,2738.9050100700783,2738.9050099834462
188,2742.289782150865,2742.289782150865,2739.20516703883,2739.205166924205
189,2741.394833871851,2741.394833871851,2739.8439767823315,2739.843976989124
190,2740.5377453837023,2740.5377453837023,2740.7621254226556,2740.7621253176535
191,2739.8146987508762,2739.8146987508762,2741.870226178238,2741.870226085744
192,2739.3153883491505,2739.3153883491505,2743.0614658466784,2743.0614660478395
193,2739.1087131450263,2739.1087131450263,2744.2239296340854,2744.223929514611
194,2739.228391256401,2739.228391256401,2745.251424209407,2745.251424136953
195,2739.6629124713036,2739.6629124713036,2746.053096919628,2746.053097113221
196,2740.354219945068,2740.354219945068,2746.562659533541,2746.562659402938
197,2741.207163291234,2741.207163291234,2746.7473832612245,2746.747383207189
