function,N,t,t_region,D_real,D_imag,D_magnitude
L_chi4,1000000,85.0,peak_85.7,-0.10043274936733512,0.20912764248296536,0.23199376714895797
L_chi4,1000000,85.5,peak_85.7,1.5183463486838975,2.1883905571154965,2.6635369088927594
L_chi4,1000000,86.0,peak_85.7,3.4604864789825442,-0.31757883732611314,3.475028487529046
L_chi4,1000000,86.5,peak_85.7,0.7239786114544329,-1.6121795006178539,1.7672769370010808
L_chi4,1000000,87.0,peak_85.7,0.612979825052148,0.8292232623740513,1.0311912939814936
L_chi4,1000000,87.5,peak_85.7,2.4518379121730467,-0.3102127306213569,2.471384447189195
L_chi4,1000000,88.0,peak_85.7,0.5151565250294879,-1.277047354322772,1.3770389211867795
L_chi4,1000000,88.5,peak_85.7,0.699078261618673,0.8653711829707935,1.1124646961517728
L_chi4,1000000,89.0,peak_85.7,2.7011111153000216,-0.4721470666453563,2.742065664738746
L_chi4,1000000,89.5,peak_85.7,0.7621966888119169,-2.210808691322513,2.3385078280953033
L_chi4,1000000,90.0,peak_85.7,-0.5327326161754865,-0.5891561051055291,0.794297775724127
L_chi4,1000000,90.5,peak_85.7,0.07965623580646482,-0.018893622491435356,0.0818662621212426
L_chi4,1000000,91.0,peak_85.7,-0.11836451250523106,0.4310418414043469,0.4469980166195944
L_chi4,1000000,91.5,peak_85.7,0.974882376716844,0.9405991168996295,1.3546668768171182
L_chi4,1000000,92.0,peak_85.7,1.1194480652515135,-0.35261707785304297,1.1736706413593958
L_chi4,1000000,10.0,general,0.0700622755900495,0.2554111836837438,0.26484636152227425
L_chi4,1000000,20.0,general,0.0031315512388701504,1.2454743835712112,1.2454783204637687
L_chi4,1000000,30.0,general,-0.6790495164515531,0.6763984154049102,0.9584482574220486
L_chi4,1000000,40.0,general,0.21202963543231368,1.7301525337405905,1.743096198237649
L_chi4,1000000,50.0,general,3.629429962540813,-3.2081800358701957,4.844087220059636
L_chi4,1000000,100.0,general,0.21059420654217698,0.544811215182032,0.5840968926618696
L_chi4,1000000,150.0,general,3.450751490831209,-2.016348639265167,3.996667072266628
L_chi4,1000000,200.0,general,0.11171090499255974,-0.45447763415330794,0.46800560492353577
f_rand,10000,80.0,peak_85.7,2.320840974735132,-1.2361386732392183,2.6295135765930424
f_rand,10000,80.5,peak_85.7,0.17514777402491843,-1.25537999143351,1.267539216607314
f_rand,10000,81.0,peak_85.7,0.3261670825622876,-0.5881465407781283,0.6725335078466147
f_rand,10000,81.5,peak_85.7,0.06753851261290783,-0.20060145060837364,0.21166575696637302
f_rand,10000,82.0,peak_85.7,0.36382250638713276,0.05753534376130366,0.3683437686937932
f_rand,10000,82.5,peak_85.7,0.5865257459864097,0.28876302008795024,0.6537557131492071
f_rand,10000,83.0,peak_85.7,0.02665140058921329,0.7467322394746085,0.7472076917592129
f_rand,10000,83.5,peak_85.7,1.1459269029939367,-0.8426870697754035,1.4224169447007902
f_rand,10000,84.0,peak_85.7,0.4370922214799544,1.3786118800096072,1.4462435222955727
f_rand,10000,84.5,peak_85.7,-0.4498616804168854,0.9195192462633338,1.0236655585474161
f_rand,10000,85.0,peak_85.7,-1.490213351794347,0.7278867242365957,1.6584797005649554
f_rand,10000,85.5,peak_85.7,8.71026744079951,7.328400955260954,11.383067225107727
f_rand,10000,86.0,peak_85.7,0.9427960653689886,-5.665534135733958,5.743443345593477
f_rand,10000,86.5,peak_85.7,2.3668241011595264,-2.0779261024981452,3.149544921615301
f_rand,10000,87.0,peak_85.7,1.0280997951550501,-0.16704508570991367,1.0415820896394525
f_rand,10000,87.5,peak_85.7,-0.36298345187167474,1.2415187672297743,1.2934936550738914
f_rand,10000,88.0,peak_85.7,2.3242172256423634,-3.887224787805678,4.529073002602583
f_rand,10000,88.5,peak_85.7,0.11299684269019997,0.45492439184526406,0.46874778799876715
f_rand,10000,89.0,peak_85.7,-0.16785191484781015,0.2177674565406688,0.27494895971119543
f_rand,10000,89.5,peak_85.7,0.25576204037972566,-0.6919680156673725,0.7377221401082128
f_rand,10000,90.0,peak_85.7,0.278614717350975,-0.1264606584160376,0.30597133665031667
f_rand,10000,90.5,peak_85.7,0.5962108090298557,0.6128817410556294,0.8550388045717076
f_rand,10000,91.0,peak_85.7,0.416296374162951,2.433413971329329,2.4687661345299587
f_rand,10000,91.5,peak_85.7,1.5570335197394678,-1.5717508735297183,2.212409137124892
f_rand,10000,92.0,peak_85.7,1.628026860882157,1.1419202203329004,1.988580712306883
f_rand,10000,10.0,general,-0.3135221496703148,0.01259825552444885,0.3137751653272683
f_rand,10000,20.0,general,-0.3096123526334852,-0.3806813673352371,0.49069146348746207
f_rand,10000,30.0,general,0.16728814685301405,0.4215938158092054,0.4535710193631002
f_rand,10000,40.0,general,1.7757809886410918,-2.053007717528508,2.7144500009856043
f_rand,10000,50.0,general,1.756082521524561,-1.9445833601869411,2.6201584431327802
f_rand,10000,100.0,general,-0.9534047934280243,0.3937689217026082,1.0315205590924343
f_rand,10000,150.0,general,-4.513650714849501,-1.6301930475769069,4.7990178316015335
f_rand,10000,200.0,general,-0.14964458514124307,0.09581967495112154,0.17769330873680453
f_rand,100000,80.0,peak_85.7,2.622239314444352,-0.45354489281938587,2.661173048116212
f_rand,100000,80.5,peak_85.7,-0.41670443140875374,-0.7490918194248026,0.8571937570262944
f_rand,100000,81.0,peak_85.7,-0.21420014401270612,-0.8411092152985631,0.8679553063120408
f_rand,100000,81.5,peak_85.7,0.030207863902887894,-0.5431978239260947,0.5440371227771319
f_rand,100000,82.0,peak_85.7,0.42713359066987977,-0.058048490116144394,0.4310600091440965
f_rand,100000,82.5,peak_85.7,0.6256078286343644,0.21703549922603638,0.6621854447002736
f_rand,100000,83.0,peak_85.7,0.0372551229878304,0.7967324058719769,0.797602953075894
f_rand,100000,83.5,peak_85.7,0.8277933436655184,-0.8721428932401696,1.2024454441039198
f_rand,100000,84.0,peak_85.7,0.1933701825155745,0.6660178946294236,0.6935213503942879
f_rand,100000,84.5,peak_85.7,0.4099413191551361,0.044998850569350095,0.41240366354242763
f_rand,100000,85.0,peak_85.7,0.04110215682003174,1.205576112389945,1.2062765644994153
f_rand,100000,85.5,peak_85.7,9.024127305384027,9.067929481778116,12.793053533471918
f_rand,100000,86.0,peak_85.7,-0.3544763415941676,-4.643601388103686,4.65711147905528
f_rand,100000,86.5,peak_85.7,1.2021266463136673,-2.570853336147073,2.8380266647365873
f_rand,100000,87.0,peak_85.7,0.9269205554821187,-0.8508178290006374,1.2582021675075263
f_rand,100000,87.5,peak_85.7,-0.3569485947304245,1.142051277652956,1.1965339193139384
f_rand,100000,88.0,peak_85.7,1.946920801310933,-4.204520545286038,4.633410582099282
f_rand,100000,88.5,peak_85.7,0.191455618462497,-0.3689266353007854,0.41564662403923835
f_rand,100000,89.0,peak_85.7,0.6359202819093199,-0.21313556852695884,0.6706872412048248
f_rand,100000,89.5,peak_85.7,0.9642767579453286,-0.3704999214445721,1.0330052554096654
f_rand,100000,90.0,peak_85.7,0.4971381392106102,0.3720802263197299,0.6209589553874955
f_rand,100000,90.5,peak_85.7,0.602259311727025,1.0197841388682127,1.184346219839913
f_rand,100000,91.0,peak_85.7,0.22144191441762004,2.819226467911403,2.827909899348483
f_rand,100000,91.5,peak_85.7,1.1519763291206624,-1.462149380908367,1.8614323181209242
f_rand,100000,92.0,peak_85.7,1.443786672426563,0.9367580698656447,1.7210565466988514
f_rand,100000,10.0,general,0.008816278834265435,0.1094386824563033,0.10979322379024628
f_rand,100000,20.0,general,-1.2645248952000998,0.4027611638995186,1.3271170881751613
f_rand,100000,30.0,general,0.9010549160452943,0.013213635692633615,0.9011517973669086
f_rand,100000,40.0,general,0.33834257090698394,-0.6567514292697374,0.7387815205700468
f_rand,100000,50.0,general,1.168750254771538,-2.8991343708678277,3.1258530449104174
f_rand,100000,100.0,general,0.11339814242960689,-0.5209244015891866,0.5331241608457992
f_rand,100000,150.0,general,-4.110328323156461,3.11445776787363,5.156999719993263
f_rand,100000,200.0,general,0.14046972764047122,0.30335876578157095,0.33430268494271204
f_rand,1000000,80.0,peak_85.7,2.526504936910693,-0.9554232513758643,2.7011221345033127
f_rand,1000000,80.5,peak_85.7,-0.4490312715860454,-1.0122050334340027,1.1073337855277925
f_rand,1000000,81.0,peak_85.7,-0.2058136525825676,-0.8327863437353129,0.8578416834716115
f_rand,1000000,81.5,peak_85.7,0.040629009310576523,-0.2809326499599601,0.2838553684732497
f_rand,1000000,82.0,peak_85.7,0.4026644181123921,0.3970415616670399,0.5654914988793317
f_rand,1000000,82.5,peak_85.7,0.5453045123406003,0.7735053573126193,0.9463971412522032
f_rand,1000000,83.0,peak_85.7,-0.09805933980924791,1.3508829137608014,1.3544372561380238
f_rand,1000000,83.5,peak_85.7,0.6560453319879687,-0.41600532808923174,0.7768242469322346
f_rand,1000000,84.0,peak_85.7,0.010233817457163116,0.955564589447895,0.9556193884735024
f_rand,1000000,84.5,peak_85.7,0.23358207518802324,0.1405725082224171,0.2726191774565481
f_rand,1000000,85.0,peak_85.7,-0.12687588587040616,1.1263429386176578,1.133466323182679
f_rand,1000000,85.5,peak_85.7,8.847496848168683,8.873877975596239,12.530918194774348
f_rand,1000000,86.0,peak_85.7,-0.5692590359089595,-4.868270872011699,4.901440312116587
f_rand,1000000,86.5,peak_85.7,0.9188467786647607,-2.7418137287085065,2.8916815048682403
f_rand,1000000,87.0,peak_85.7,0.5560408591296853,-0.9088949241358746,1.0654911638027016
f_rand,1000000,87.5,peak_85.7,-0.8157779326420346,1.2120425470602707,1.4610067663327437
f_rand,1000000,88.0,peak_85.7,1.4184936977121816,-4.041025974050049,4.282757907399895
f_rand,1000000,88.5,peak_85.7,-0.37681734627010266,-0.18577168274039652,0.4201219234439462
f_rand,1000000,89.0,peak_85.7,0.05785053031971074,-0.09869054463727338,0.11439627379890231
f_rand,1000000,89.5,peak_85.7,0.39694179146607034,-0.39574179629647077,0.560512582506629
f_rand,1000000,90.0,peak_85.7,-0.05246963814637339,0.18222662652546906,0.18963018309874655
f_rand,1000000,90.5,peak_85.7,0.06750250990655428,0.7013725697243712,0.7046134191210471
f_rand,1000000,91.0,peak_85.7,-0.3014989398194186,2.463695158089273,2.482074826169582
f_rand,1000000,91.5,peak_85.7,0.6487777119526741,-1.73436079647119,1.8517342929974396
f_rand,1000000,92.0,peak_85.7,0.9860655878391656,0.8571970626062112,1.3065650185357467
f_rand,1000000,10.0,general,-0.5153325427989337,0.8455006843664918,0.990171215968138
f_rand,1000000,20.0,general,-0.5771030980293961,0.15101647050323364,0.5965349613546391
f_rand,1000000,30.0,general,1.4692348601045442,-0.35975556136014003,1.5126384690586077
f_rand,1000000,40.0,general,1.0421622868384965,0.5449600852457042,1.1760458012422177
f_rand,1000000,50.0,general,0.8284077848885656,-2.743205431425041,2.8655602413950096
f_rand,1000000,100.0,general,0.30176423587403917,0.2527961932817729,0.393659204630602
f_rand,1000000,150.0,general,0.3478072652057956,5.311350081206321,5.3227257658891585
f_rand,1000000,200.0,general,-0.7903611617768028,0.23055166124360169,0.8233011809461723
L_DH,10000,80.0,peak_85.7,0.8718739132916878,-1.05875460559036,1.3715412627906463
L_DH,10000,80.5,peak_85.7,0.26363379568213596,0.708825262930087,0.7562645248811273
L_DH,10000,81.0,peak_85.7,2.1396302419347757,0.36628833358188645,2.170756714954502
L_DH,10000,81.5,peak_85.7,1.0240486036146157,-1.220745295032594,1.593390918108064
L_DH,10000,82.0,peak_85.7,0.0634957026327925,0.2858261181144973,0.2927939105398789
L_DH,10000,82.5,peak_85.7,1.3955847738430158,0.2918180406444987,1.4257680841665854
L_DH,10000,83.0,peak_85.7,0.3002431114629969,-0.366589282997035,0.4738497951769757
L_DH,10000,83.5,peak_85.7,0.5864704702590855,1.90010099123683,1.9885500721342417
L_DH,10000,84.0,peak_85.7,3.777132279308217,0.8484271746055265,3.8712474638030057
