class,j,k,M_jk,C_jk,diag,pred,resid
F5m,1,3,6.641199268594027,-0.001049852371209684,False,8.387605706621422,-1.7464064380273943
F5m,1,4,3.9310589558281093,-0.00013235490780021385,False,8.388577933207921,-4.457518977379812
F5m,1,5,0.9543768941538512,-2.1828601434750705e-05,False,8.388695052456576,-7.434318158302725
F5m,1,6,0.03446532806482073,6.880246043687138e-07,False,8.38871891220916,-8.35425358414434
F5m,1,7,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5m,2,0,3.653496270802785,0.12589127568498246,False,8.522118928225272,-4.8686226574224865
F5m,2,1,7.407145460517358,-0.027544699649288153,False,8.359530430169658,-0.9523849696522992
F5m,2,2,15.285059125088601,0.015848613293592256,True,8.405512173119249,6.879546951969353
F5m,2,3,12.415730529317047,0.0006040619232924963,False,8.389358277623561,4.026372251693486
F5m,2,4,7.434761967755546,7.615409780984329e-05,False,8.388798879866483,-0.9540369121109373
F5m,2,5,1.8666194337709028,1.2559696322129166e-05,False,8.388731492031264,-6.522112058260361
F5m,2,6,0.07247444144504485,-3.958741983014634e-07,False,8.388717763655322,-8.316243322210276
F5m,2,7,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5m,3,0,3.1829138695596053,0.004798282645129751,False,8.393802685437254,-5.210888815877649
F5m,3,1,6.641199268594027,-0.001049852371209684,False,8.387605706621422,-1.7464064380273943
F5m,3,2,12.415730529317047,0.0006040619232924963,False,8.389358277623561,4.026372251693486
F5m,3,3,11.634873612522972,2.302351634255336e-05,True,8.388742580022702,3.2461310325002692
F5m,3,4,7.0375139838244465,2.902575129914854e-06,False,8.388721258858588,-1.3512072750341417
F5m,3,5,1.795536303706988,4.787065073625379e-07,False,8.388718690405147,-6.593182386698159
F5m,3,6,0.0718729657445787,-1.5088545930043017e-08,False,8.388718167155004,-8.316845201410425
F5m,3,7,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5m,4,0,1.941317106253115,0.0006049195815634085,False,8.38935918644152,-6.448042080188406
F5m,4,1,3.9310589558281093,-0.00013235490780021385,False,8.388577933207921,-4.457518977379812
F5m,4,2,7.434761967755546,7.615409780984329e-05,False,8.388798879866483,-0.9540369121109373
F5m,4,3,7.0375139838244465,2.902575129914854e-06,False,8.388721258858588,-1.3512072750341417
F5m,4,4,5.163784315741457,3.6592770015884924e-07,True,8.388718570899035,-3.224934255157579
F5m,4,5,1.4118501238379773,6.035053821169733e-08,False,8.388718247094062,-6.976868123256084
F5m,4,6,0.06259646467853018,-1.902213263669689e-09,False,8.388718181127906,-8.326121716449377
F5m,4,7,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5m,5,0,0.5037065539799065,9.976621695022994e-05,False,8.388823900458808,-7.885117346478902
F5m,5,1,0.9543768941538512,-2.1828601434750705e-05,False,8.388695052456576,-7.434318158302725
F5m,5,2,1.8666194337709028,1.2559696322129166e-05,False,8.388731492031264,-6.522112058260361
F5m,5,3,1.795536303706988,4.787065073625379e-07,False,8.388718690405147,-6.593182386698159
F5m,5,4,1.4118501238379773,6.035053821169733e-08,False,8.388718247094062,-6.976868123256084
F5m,5,5,0.47592349262388417,9.953298044560348e-09,True,8.388718193690606,-7.912794701066722
F5m,5,6,0.025111114533300945,-3.1372206642476243e-10,False,8.388718182811152,-8.363607068277851
F5m,5,7,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5m,6,0,0.021081337417242618,-3.144572140900842e-06,False,8.388714850996351,-8.367633513579108
F5m,6,1,0.03446532806482073,6.880246043687138e-07,False,8.38871891220916,-8.35425358414434
F5m,6,2,0.07247444144504485,-3.958741983014634e-07,False,8.388717763655322,-8.316243322210276
F5m,6,3,0.0718729657445787,-1.5088545930043017e-08,False,8.388718167155004,-8.316845201410425
F5m,6,4,0.06259646467853018,-1.902213263669689e-09,False,8.388718181127906,-8.326121716449377
F5m,6,5,0.025111114533300945,-3.1372206642476243e-10,False,8.388718182811152,-8.363607068277851
F5m,6,6,0.0020324993283077093,9.888333949329705e-12,True,8.388718183154067,-8.386685683825759
F5m,6,7,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5m,7,0,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5m,7,1,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5m,7,2,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5m,7,3,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5m,7,4,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5m,7,5,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5m,7,6,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5m,7,7,0.0,0.0,True,8.388718183143588,-8.388718183143588
