function,name,d,q,GRH,t,|M|,log_abs_S0_norm,log_abs_S0,abs_S0,log_abs_S1_norm,log_abs_S1,abs_S1,log_abs_S2_norm,log_abs_S2,abs_S2,log_abs_S3_norm,log_abs_S3,abs_S3,log_abs_S4_norm,log_abs_S4,abs_S4,log_abs_S5_norm,log_abs_S5,abs_S5,log_abs_S6_norm,log_abs_S6,abs_S6,log_abs_S7_norm,log_abs_S7,abs_S7
F1,zeta,1,1,True,98352.60000032143,12.577502125712645,0.0,0.0,1.0,0.5761989940274741,1.4070932039527346,4.084066584650674,0.7740745631544601,1.8903105844634436,6.621424873407387,0.7406572376157358,1.808704590445389,6.102537024958726,0.6049637961206864,1.4773376124955142,4.3812655126963405,0.39268749197599484,0.9589532556704187,2.6089641252334417,-0.3930810773889683,-0.9599144016729462,0.3829256623683745,-2.14687843368356,-5.242733994785123,0.00528578575226882
F1,zeta,1,1,True,84129.80000026968,12.551546481032087,0.0,0.0,1.0,0.6060559461954461,1.4717138590171854,4.356695508109659,0.8293763755868218,2.014013250682532,7.4933296940106855,0.7408270592544908,1.798984824889706,6.04350912915078,0.4643323353681677,1.1275598192559781,3.0881117477664697,0.3946874478343231,0.9584378976962842,2.6076199211701643,-0.2919243363010674,-0.7088934515298428,0.4921885267033304,-2.124314080484217,-5.1585707438067905,0.005749911912779738
F1,zeta,1,1,True,96557.4000003149,12.49355636581042,0.0,0.0,1.0,0.6657958281134058,1.6248233399044592,5.077521962428765,0.8628468306867283,2.105711105512646,8.212941201327931,0.7130307175548352,1.7400964425307024,5.697892915386762,0.45281316048407705,1.1050555751531568,3.0193922673315083,0.22089879379006727,0.5390864597693273,1.7144399367138443,-0.5218999775756937,-1.2736566209245772,0.27980660219005665,-2.6367193993697993,-6.434710221922844,0.0016048736922363348
F1,zeta,1,1,True,99702.80000032633,12.364409064188049,0.0,0.0,1.0,0.6562213566368281,1.603287758832178,4.969343599406562,0.8495119733904325,2.0755376735963567,7.968829936826012,0.6912594303516741,1.688893193815242,5.413485708630192,0.5389617279937434,1.3167976510243793,3.7314528096413784,0.1996482688341947,0.4877830053175933,1.6287013920834095,-0.6757343488885297,-1.6509621316622203,0.19186522018448682,-2.297779995994518,-5.613963189110737,0.003646588561539677
F1,zeta,1,1,True,68229.90000021184,12.360703448620518,0.0,0.0,1.0,0.6233583612968328,1.5021075788445706,4.491144543988755,0.8102528804291573,1.9524675821164201,7.046052860680984,0.816470843326041,1.9674510166418708,7.152421828607089,0.5391582383675704,1.2992104162420415,3.666400594064142,0.25306432746372487,0.6098094897253714,1.84008081108676,-0.48383427408172736,-1.1658961764641314,0.3116432495044701,-2.215466653854272,-5.338613321089709,0.004802525656137007
F1,zeta,1,1,True,55104.60000016409,12.350818313694917,0.0,0.0,1.0,0.6713181770554498,1.6046653668299309,4.976194124478338,0.9253286751477373,2.2118317791677375,9.13242967527586,0.7856138510901979,1.8778686197293293,6.539551726225656,0.34909434325294186,0.8344472435281098,2.3035403994465673,0.030051587159012075,0.07183291437728287,1.0744757996065109,-0.9072370317726832,-2.1685869594306584,0.1143390685576417,-2.3484194967628165,-5.613474447798544,0.0036483712356160194
F1,zeta,1,1,True,96185.80000031354,12.238098652067146,0.0,0.0,1.0,0.6616626796611436,1.6145143920683656,5.02544693394365,0.8693685771781448,2.1213348175915563,8.342265461819487,0.7300589360377657,1.7814071966318734,5.938206766483647,0.485088887955966,1.1836590079985112,3.266303796056817,-0.09784737632982438,-0.23875609455793248,0.7876069605711703,-0.9326872540948513,-2.275837887374945,0.10271081227800369,-2.6188149027598824,-6.3901357604667774,0.001678028376009164
F1,zeta,1,1,True,81881.70000026151,12.142156131171262,0.0,0.0,1.0,0.6683862316435178,1.6214750740605313,5.060549499086177,0.885269135193159,2.1476232881416073,8.564478890123983,0.7547288313793642,1.8309383554285565,6.239739005272999,0.4279690717625641,1.0382338077573272,2.824224483390524,-0.06123281361688922,-0.14854806441814153,0.8619585766373913,-1.1998487978543713,-2.9107794659061694,0.0544332844395748,-2.221684084668027,-5.389706123760381,0.0045633141883169494
F1,zeta,1,1,True,96974.40000031641,12.113184027270364,0.0,0.0,1.0,0.6509572664226396,1.5888553312689697,4.898138971647085,0.8387893702567993,2.0473155942605006,7.747076870846743,0.7259243774525498,1.7718349217485254,5.881635807344786,0.49975444559328946,1.2197997567028165,3.3865095398855156,0.10918922024650683,0.2665088534292924,1.3053991465432209,-0.8466573542574838,-2.066519755532909,0.12662570414843602,-2.7220841595224283,-6.644058146532742,0.0013017338836387765
F1,zeta,1,1,True,63099.700000193174,12.105927299035011,0.0,0.0,1.0,0.6412636033755005,1.5407345934401722,4.668018107281166,0.8930691758670926,2.145736271871038,8.548332817851035,0.7248835760003173,1.741644459285363,5.706720179699798,0.45785631328919973,1.1000703252084842,3.004377299977317,0.0012561847125728655,0.0030181772865696017,1.0030227365693902,-1.0550196143605182,-2.534847148733816,0.07927383544484426,-2.4014820062471363,-5.769930467085092,0.0031199744475406783
