t,function,GRH_label,feat_xi,feat_A_log_peak,feat_B_curvature,feat_C_roughness,q,d,norm_amplitude,norm_curvature,norm_roughness,norm_xi
31241.440000034345,F7,1,0.1706099142888822,1.895858114921647,1.7866686729327583,4.783129885991025,7,1,1.69258409871287,0.46656363496751163,1.2490477389221568,0.1706099142888822
31858.300000035342,F7,1,0.1706099142888822,1.9052809560793005,1.670420958974933,4.500042989865712,7,1,1.7004583572065368,0.43482326912485647,1.1713953860208752,0.1706099142888822
32419.72000003625,F7,1,0.1706099142888822,1.912620969839644,1.7430823693987345,4.730077658537553,7,1,1.7065276993221232,0.4524531844041243,1.2277897686627095,0.1706099142888822
32865.310000036974,F7,1,0.1706099142888822,1.94737732074458,1.802988441135527,4.996868594200495,7,1,1.7371564939451707,0.4669687996797969,1.294174536206072,0.1706099142888822
34306.0300000393,F7,1,0.1706099142888822,1.962955701562851,1.785964275680362,5.037055845755107,7,1,1.7498460990933011,0.45936172851687657,1.2955638091140715,0.1706099142888822
34712.47000003996,F7,1,0.1706099142888822,1.9032168123757136,1.698201073360894,4.581413248258289,7,1,1.6962726503478478,0.4359592336429422,1.1761324616050617,0.1706099142888822
35129.26000004063,F7,1,0.1706099142888822,1.8970381543221952,1.9577049487177087,5.098468789455454,7,1,1.690442932540083,0.5016126651722367,1.3063544225350938,0.1706099142888822
35238.970000040805,F7,1,0.1706099142888822,1.932776355031955,1.7284845240999611,4.829119169393247,7,1,1.7222032347547198,0.44265828912526295,1.236718986893285,0.1706099142888822
36824.05000004337,F7,1,0.1706099142888822,1.8930967415532027,1.9575961810134728,4.969426396479737,7,1,1.6856635600659655,0.4977988255240623,1.2636797352226041,0.1706099142888822
37269.550000044095,F7,1,0.1706099142888822,2.0808068530378154,1.9299265203809093,5.975755965324387,7,1,1.8524514751715813,0.4898168259306131,1.516651431316365,0.1706099142888822
38710.270000046425,F7,1,0.1706099142888822,1.9313277471267107,1.9718546034389128,5.335849883961547,7,1,1.7183433136933417,0.49742839090076496,1.346044083188536,0.1706099142888822
39064.870000047,F7,1,0.1706099142888822,1.925639424054305,1.9314991927534688,5.1858635448761925,7,1,1.7130353071139317,0.48653866642530375,1.306302970694384,0.1706099142888822
39271.60000004733,F7,1,0.1706099142888822,1.959175929389484,1.8217380088295827,5.0093746480999695,7,1,1.7427238317248184,0.45850350070976936,1.2607827258301796,0.1706099142888822
39717.28000004805,F7,1,0.1706099142888822,1.9035662950963657,1.6652977379191127,4.4775821787972285,7,1,1.6929564594764859,0.4183756630285169,1.1249108013320035,0.1706099142888822
40895.560000049954,F7,1,0.1706099142888822,1.8963211596838427,1.955574094234661,5.075095016851389,7,1,1.6857366585790925,0.48901884727017897,1.2690989936121988,0.1706099142888822
41341.15000005068,F7,1,0.1706099142888822,1.9828192620090748,1.857345897521648,5.173059636264221,7,1,1.762329128891392,0.46365542821691885,1.2913680666827922,0.1706099142888822
41638.06000005116,F7,1,0.1706099142888822,1.9608662011016127,1.9802163260480847,5.460845565111455,7,1,1.7426214924777357,0.49376589655157527,1.3616589616590589,0.1706099142888822
42090.76000005189,F7,1,0.1706099142888822,1.947944534170021,1.8091235130365488,4.959081505885812,7,1,1.7308444821628515,0.4503296923075244,1.2344218803088298,0.1706099142888822
42164.650000052,F7,1,0.1706099142888822,1.8887503314441256,1.7686574591225572,4.661193764644622,7,1,1.6782013966166711,0.44013422440214717,1.1599481243856984,0.1706099142888822
42536.35000005261,F7,1,0.1706099142888822,1.9122366502289567,1.8896747821379176,5.005838368441434,7,1,1.6988360399579092,0.46959500769384954,1.2439795087294845,0.1706099142888822
42953.05000005328,F7,1,0.1706099142888822,1.889328562350694,1.9789696475058445,5.059435997121598,7,1,1.6782284511220724,0.4910254841908371,1.2553562978341972,0.1706099142888822
43343.29000005391,F7,1,0.1706099142888822,1.8960676661854896,1.7719277141866965,4.72933390544298,7,1,1.6839765236236852,0.4390241189551317,1.1717699511431487,0.1706099142888822
43886.3500000548,F7,1,0.1706099142888822,1.95359347422223,2.065717042464443,5.638238185521702,7,1,1.7347303672851309,0.5108070724308421,1.3942141551865996,0.1706099142888822
45064.900000056696,F7,1,0.1706099142888822,1.9980085879186888,1.9501517408469573,5.551615066653695,7,1,1.7734373888943407,0.48021397680579403,1.3670542107122892,0.1706099142888822
45916.84000005807,F7,1,0.1706099142888822,1.890537230294047,1.8104393555782652,4.672544959438212,7,1,1.6775572945973354,0.444494782151568,1.147192170474837,0.1706099142888822
46162.36000005847,F7,1,0.1706099142888822,2.0916235037269675,1.9027873912383984,5.993584075412454,7,1,1.8558364547922308,0.4667751913625171,1.4702937210064095,0.1706099142888822
47431.18000006052,F7,1,0.1706099142888822,2.0421378835810304,1.967828493352729,5.76811994549579,7,1,1.8111684257450484,0.48067364098723087,1.4089557221161495,0.1706099142888822
48364.30000006203,F7,1,0.1706099142888822,2.1142817647064223,1.94191772081508,6.167927103525641,7,1,1.8745883444802076,0.4728941215748433,1.5020082665166516,0.1706099142888822
48410.920000062106,F7,1,0.1706099142888822,1.9292762343832175,2.336496825101096,5.841584375508576,7,1,1.710531219360967,0.5688955885345305,1.4223223184286922,0.1706099142888822
48809.98000006275,F7,1,0.1706099142888822,1.9298164081695648,1.969611309430224,5.206733287888111,7,1,1.7107934859175649,0.4789477381173365,1.2661143441218639,0.1706099142888822
49461.67000006381,F7,1,0.1706099142888822,1.903671410315606,2.201174546831131,5.526850577487765,7,1,1.6872709556817278,0.534144131564256,1.3411634285193694,0.1706099142888822
49823.74000006439,F7,1,0.1706099142888822,1.971688786919788,1.8860529560793595,5.172292159248803,7,1,1.7473602824918355,0.4571527693768184,1.253691036089393,0.1706099142888822
49988.260000064656,F7,1,0.1706099142888822,1.9518919585738923,1.7930750378236329,4.962379022429244,7,1,1.7297281236081194,0.43439179630620545,1.2021899206860174,0.1706099142888822
50811.76000006599,F7,1,0.1706099142888822,1.937647974437544,1.918399295434325,5.261309964750819,7,1,1.7166743453525284,0.46356555022504303,1.2713526607931924,0.1706099142888822
50921.560000066165,F7,1,0.1706099142888822,1.9375732286769392,1.914022619565627,5.135947405719265,7,1,1.7165512477846898,0.4623517952451068,1.2406407735440723,0.1706099142888822
