Function,Type,t_value,N,R_comp
Liouville,Peak,1083.2269575843536,10000,0.8137482568337809
Liouville,Peak,1083.2269575843536,30000,0.8736383472196841
Liouville,Peak,1083.2269575843536,100000,0.7284244240643156
Liouville,Peak,1083.2269575843536,300000,0.8205911375280923
Liouville,Peak,1083.2269575843536,1000000,0.660417507836606
Liouville,Peak,1083.2269575843536,3000000,0.7425954220194572
Liouville,Peak,1083.2269575843536,10000000,0.613472804325385
Liouville,Peak,2433.9595478877973,10000,0.7995581189135695
Liouville,Peak,2433.9595478877973,30000,0.7234798776916315
Liouville,Peak,2433.9595478877973,100000,0.5966021291365988
Liouville,Peak,2433.9595478877973,300000,0.6173792859991301
Liouville,Peak,2433.9595478877973,1000000,0.4240154368488005
Liouville,Peak,2433.9595478877973,3000000,0.5079204892007475
Liouville,Peak,2433.9595478877973,10000000,0.2907510870497898
Liouville,Peak,1735.398854720764,10000,0.7964208661021436
Liouville,Peak,1735.398854720764,30000,0.7728126725624179
Liouville,Peak,1735.398854720764,100000,0.6386920935552932
Liouville,Peak,1735.398854720764,300000,0.6736544413084836
Liouville,Peak,1735.398854720764,1000000,0.5133778479022559
Liouville,Peak,1735.398854720764,3000000,0.5588873728629083
Liouville,Peak,1735.398854720764,10000000,0.45628301617276873
Liouville,Peak,2742.3086038560587,10000,0.8498678322453542
Liouville,Peak,2742.3086038560587,30000,0.9157904196059934
Liouville,Peak,2742.3086038560587,100000,0.8680967733806497
Liouville,Peak,2742.3086038560587,300000,0.8799308611385616
Liouville,Peak,2742.3086038560587,1000000,0.777906180597273
Liouville,Peak,2742.3086038560587,3000000,0.8029765449942645
Liouville,Peak,2742.3086038560587,10000000,0.7192432789207713
Liouville,Peak,1890.2555708818156,10000,0.8833975258028476
Liouville,Peak,1890.2555708818156,30000,0.875257029075887
Liouville,Peak,1890.2555708818156,100000,0.7756783837911317
Liouville,Peak,1890.2555708818156,300000,0.8626218519483084
Liouville,Peak,1890.2555708818156,1000000,0.5957466665868775
Liouville,Peak,1890.2555708818156,3000000,0.8168623993229076
Liouville,Peak,1890.2555708818156,10000000,0.609140448311616
Liouville,Peak,2633.8406837256302,10000,0.6406162103599942
Liouville,Peak,2633.8406837256302,30000,0.9961751347214206
Liouville,Peak,2633.8406837256302,100000,0.9847786247378212
Liouville,Peak,2633.8406837256302,300000,0.9965287514125061
Liouville,Peak,2633.8406837256302,1000000,0.8931914190148801
Liouville,Peak,2633.8406837256302,3000000,0.9949871497424622
Liouville,Peak,2633.8406837256302,10000000,0.7674714788760382
Liouville,Peak,2941.50755151697,10000,0.7531328968484586
Liouville,Peak,2941.50755151697,30000,0.8015675746996264
Liouville,Peak,2941.50755151697,100000,0.6256969641372446
Liouville,Peak,2941.50755151697,300000,0.7217389248418018
Liouville,Peak,2941.50755151697,1000000,0.5587981599956312
Liouville,Peak,2941.50755151697,3000000,0.5913018770526552
Liouville,Peak,2941.50755151697,10000000,0.5863058565501353
Liouville,Peak,1609.8762301673123,10000,0.9986336293810799
Liouville,Peak,1609.8762301673123,30000,0.9892863105973108
Liouville,Peak,1609.8762301673123,100000,0.6876419341054426
Liouville,Peak,1609.8762301673123,300000,0.9309651162213861
Liouville,Peak,1609.8762301673123,1000000,0.6233268225339185
Liouville,Peak,1609.8762301673123,3000000,0.6412933148914556
Liouville,Peak,1609.8762301673123,10000000,0.7265487581241195
Liouville,Peak,1364.2884864757773,10000,0.6149956760567569
Liouville,Peak,1364.2884864757773,30000,0.620809994992658
Liouville,Peak,1364.2884864757773,100000,0.3838133542312451
Liouville,Peak,1364.2884864757773,300000,0.3860141386261572
Liouville,Peak,1364.2884864757773,1000000,0.3881324129371014
Liouville,Peak,1364.2884864757773,3000000,0.4379252917446519
Liouville,Peak,1364.2884864757773,10000000,0.2951578913024925
Liouville,Peak,2668.6322807485976,10000,0.9804659157216566
Liouville,Peak,2668.6322807485976,30000,0.9635585287713235
Liouville,Peak,2668.6322807485976,100000,0.9624948254590862
Liouville,Peak,2668.6322807485976,300000,0.9331081161398865
Liouville,Peak,2668.6322807485976,1000000,0.923042680730088
Liouville,Peak,2668.6322807485976,3000000,0.9178586162153156
Liouville,Peak,2668.6322807485976,10000000,0.8426102951113547
Liouville,Random,2498.16047538945,10000,0.2842441178840989
Liouville,Random,2498.16047538945,30000,0.39670327266953337
Liouville,Random,2498.16047538945,100000,0.21466499378491216
Liouville,Random,2498.16047538945,300000,0.21999223894973424
Liouville,Random,2498.16047538945,1000000,0.09062721618587812
Liouville,Random,2498.16047538945,3000000,0.13494413354224538
Liouville,Random,2498.16047538945,10000000,0.1642693871373909
Liouville,Random,4802.857225639665,10000,0.7495663835855256
Liouville,Random,4802.857225639665,30000,0.6937349777619507
Liouville,Random,4802.857225639665,100000,0.64267628413749
Liouville,Random,4802.857225639665,300000,0.4368697359663492
