r_center,obs_count_riemann,gue_count_N1000,gue_count_N600,z_obs_vs_GUE_N1000,surmise_density
2.7700000000000005,1382,527,1452,-1.242062309971677,0.07101230508040483
2.79,1349,514,1512,-1.2111663042768332,0.06956226064700163
2.81,1318,520,1371,-1.88587885664448,0.0681474256145192
2.83,1351,494,1400,-0.41083596634131697,0.06676683543786795
2.8499999999999996,1341,490,1307,-0.3959334915949442,0.06541955391111726
2.87,1271,436,1319,0.7613321396565114,0.06410467233537821
2.8899999999999997,1206,415,1288,0.6874433191886479,0.06282130870729659
2.91,1273,483,1198,-1.0957675348664517,0.06156860692808456
2.9299999999999997,1208,427,1226,0.217972878716705,0.060345736032969007
2.95,1127,378,1166,1.0896516803433918,0.059151889440886375
2.9699999999999998,1163,462,1252,-1.9005638943382883,0.057986284224218344
2.99,1110,412,1179,-0.6340068374349781,0.05684816039832312
3.01,1046,459,1111,-3.64971739516369,0.055736780230592343
3.0300000000000002,1055,383,1089,-0.2414603740875087,0.054651427568733715
3.05,1038,411,1097,-1.7373367238732167,0.05359140718796199
3.0700000000000003,1030,391,1045,-0.99439485599714,0.05255604415675853
3.09,965,369,1049,-1.0839640921397022,0.05154468322084886
3.1100000000000003,1009,339,1060,1.0045084350672724,0.05055668820503153
3.13,975,379,964,-1.36766311326478,0.049591441432484985
3.1500000000000004,972,355,943,-0.3294078318713751,0.048648343161169096
3.17,884,353,961,-1.742849049886638,0.04772681103693496
3.1900000000000004,890,331,923,-0.5990210364894123,0.04682627956295021
3.21,857,319,947,-0.6010521235370382,0.045946199585047864
3.2300000000000004,881,302,907,0.6443896418695425,0.045086037792603076
3.25,879,347,902,-1.549614447770607,0.04424527623454564
3.2700000000000005,899,330,881,-0.3958116317620058,0.04342341185011496
3.29,814,328,866,-1.8163113905505257,0.04261995601396953
3.3100000000000005,798,289,861,-0.17455187342090167,0.04183443409526388
3.33,804,326,838,-1.904424033493351,0.04106638503031253
3.3499999999999996,794,263,799,1.0862643870169706,0.04031536090846335
3.37,718,285,774,-1.4816479690430708,0.03958092657080969
3.3899999999999997,775,302,800,-1.2568044206846765,0.03886265922137568
3.41,724,288,777,-1.5198666632158009,0.03816014805041537
3.4299999999999997,744,286,720,-1.0295686370862325,0.03747299386947375
3.45,692,287,766,-2.103634936773937,0.036800808757863616
3.4699999999999998,731,266,765,-0.23389909682171797,0.036143215720220265
3.49,695,262,734,-0.7187178235040425,0.03549984835480234
3.51,651,266,734,-1.8242288020450554,0.034870350532215884
3.5300000000000002,604,254,726,-2.1609036276739584,0.03425437608424451
3.55,616,246,697,-1.4558846351926051,0.03365158850247804
3.5700000000000003,674,249,723,-0.43000954894663246,0.03306166064643767
3.59,604,228,597,-0.6875705451559372,0.03248427446090522
3.6100000000000003,590,217,641,-0.3456380668539683,0.03191912070216992
3.63,596,226,671,-0.7420432423189292,0.03136589867291526
3.6500000000000004,568,248,556,-2.6185738913436096,0.030824315965474365
3.67,593,213,645,-0.04710997004532283,0.03029408821319169
3.6900000000000004,570,227,566,-1.3637267813253882,0.029774938849633933
3.71,598,218,612,-0.234718335171408,0.02926659887540274
3.7300000000000004,556,228,519,-1.7337889983763013,0.028768806632306403
3.75,522,185,546,0.11273868994446418,0.02828130758465717
3.7700000000000005,529,188,569,0.08103987571980621,0.02780385410746566
3.79,568,201,550,0.1358708214939722,0.02733620528131217
3.8100000000000005,469,177,552,-0.6032832373538569,0.026878126693679987
3.83,460,200,553,-2.30303078539954,0.026429390246543658
3.8499999999999996,474,231,553,-3.8646450611162173,0.025989773970010042
3.87,477,206,504,-2.258592953353131,0.025559061841817582
3.8899999999999997,482,168,480,0.29371873598428644,0.02513704361250411
3.91,482,154,513,1.2249471954081026,0.0247235146360601
3.9299999999999997,443,194,473,-2.34975714868014,0.024318275705889947
3.95,453,182,493,-1.3200007764023902,0.02392113289590887
3.9699999999999998,441,173,518,-1.024906355696865,0.02353189740660964
3.99,465,154,501,0.8329123956024865,0.02315038541593719
