c_center,observed_count,expected_GUE,z_local_detrend
0.1395,222,287.91588914893657,-1.6474617468223773
0.1405,250,291.7443692508711,-0.0952013462352325
0.14150000000000001,258,295.59156432137706,0.21258863240365186
0.14250000000000002,249,299.45730497368953,-0.6165896437287269
0.14350000000000002,251,303.3414218210432,-0.6914373511410309
0.14450000000000002,251,307.24374547667315,-0.9290529858756038
0.1455,256,311.16410655381407,-0.8392218867343975
0.1465,263,315.10233566570133,-0.6063924770663659
0.1475,286,319.0582634255695,0.5671180147777547
0.1485,246,323.03172044665354,-2.0428913904884807
0.1495,295,327.0225373421886,0.6717172093889013
0.1505,309,331.030544548231,1.3190612118549132
0.1515,309,335.0555684257342,1.0812679159666312
0.1525,289,339.09743126054906,-0.30520644636730143
0.1535,287,343.15595516134755,-0.6594961346463998
0.1545,314,347.230962236802,0.7285373493142646
0.1555,334,351.3222745955844,1.6817178327823188
0.1565,301,355.42971434636735,-0.4065922561517442
0.1575,304,359.5531035978226,-0.45400662323472696
0.1585,289,363.69226445862256,-1.4977377560053198
0.1595,321,367.84701903743945,0.13732566175540784
0.1605,359,372.01718944294527,2.0607739408017496
0.1615,316,376.20259778381234,-0.5378017632384665
0.1625,337,380.4030661687129,0.3973403274421752
0.1635,294,384.618416706319,-2.187693943667824
0.1645,344,388.8484715053031,0.41047574008242477
0.1655,342,393.0930525470596,0.07011064193435484
0.1665,309,397.35197888560276,-1.939175393115591
0.1675,370,401.62506664756563,1.11221517810875
0.1685,344,405.91213183230377,-0.4542776836876357
0.1695,376,410.212990439173,1.0109142391664498
0.1705,355,414.5274584675293,-0.30555254849010133
0.1715,348,418.8553519167282,-0.8747783671598494
0.17250000000000001,360,423.1964867861254,-0.4886765535536162
0.17350000000000002,388,427.55067907507663,0.7601068786217171
0.17450000000000002,379,431.9177447829376,0.04335730567800559
0.1755,360,436.297499909064,-1.129514871568059
0.1765,414,440.68976045281187,1.4582846079312999
0.1775,387,445.09434241353654,-0.06468055540731044
0.1785,415,449.51106179059406,1.182073760214296
0.1795,374,453.93973458333994,-1.082537058088997
0.1805,389,458.38017671482544,-0.5335556945409664
0.1815,392,462.8322023530968,-0.5479490295253897
0.1825,435,467.2956239111951,1.3758477316068651
0.1835,420,471.7702537258571,0.41657797865779644
