bootstrap_sample,xi_estimate
435,-0.17903348937597352
436,-0.06272071387394176
437,-0.15760649762220175
438,-0.12843013255639052
439,0.028040300751029937
440,-0.1416711204275185
441,-0.08607027413453136
442,-0.022503359038393393
443,-0.1290221400846238
444,-0.17530400955553083
445,-0.13477117637584515
446,-0.17224101490082466
447,-0.20368830367095192
448,-0.13518923473923317
449,-0.10110670980290215
450,-0.16617971625123457
451,-0.11780499831283783
452,-0.03092807083868726
453,-0.25186776688780926
454,-0.08922069223393117
455,-0.14044206039150436
456,-0.16819940793894778
457,-0.05717867081982375
458,-0.26557422918277496
459,-0.09691522766327303
460,-0.12394621849798776
461,-0.12800490194845737
462,-0.11630109455093521
463,-0.2195037977240508
464,-0.14575401297037077
465,-0.12692051081350947
466,-0.07626553143276238
467,-0.15584480792503091
468,-0.08611521140194273
469,-0.23685888987032594
470,-0.1478830315932848
471,-0.07585891450170398
472,-0.14264094262664503
473,-0.05912719552091887
474,-0.2540200682802668
475,-0.0498568306870968
476,-0.19715895258260224
477,-0.10941385668026438
478,-0.12462931128994326
479,-0.0920960936744993
480,-0.05857991427741348
481,-0.15276250519506854
482,-0.0683308472494298
483,-0.217269246723427
484,-0.1361154888943884
485,-0.13811826640287983
486,-0.015668517937003898
487,-0.10430659892654189
488,-0.24117087396778725
489,-0.09346149337407414
490,-0.1587349922378392
491,-0.28422806293022046
492,-0.2381553200104362
493,-0.15588625667598405
494,-0.07580213225274923
495,-0.14061453028418092
496,-0.15647799358339554
497,-0.16042531361518064
498,-0.19233190486758056
499,-0.13022143698288702
500,-0.21213406683954023
501,-0.16817237202652346
502,-0.18497739428804202
503,-0.1799733923614676
504,-0.1233110392564035
505,-0.20268150142527203
506,-0.16535263909917003
507,-0.12675198542722416
508,-0.12471147359703179
509,-0.1479619429933923
510,0.025741324811977308
511,-0.16205921963626285
512,-0.24983679179188256
513,-0.10542720257582142
514,-0.10959922168294654
515,-0.1602314103821831
516,-0.23637512363622587
517,-0.12747118805899785
518,-0.03649775452643647
519,-0.1314736462728146
520,-0.1562955379529375
521,-0.1319676209853022
522,-0.07125502245610454
523,-0.021942601037646232
524,-0.15742625493369472
525,-0.15824025978985556
526,-0.03907837330865298
527,-0.15545594196257922
528,-0.24768225495294632
529,-0.2227336954567573
530,-0.14685989267935662
531,-0.1691740452829255
532,-0.16736679553244244
533,-0.14156595183869158
534,-0.25832679642982104
535,-0.18275661002898475
536,-0.10116728910520242
537,-0.14351592064517943
538,0.016664921581869295
539,0.10298411286519332
540,-0.21969327959546853
541,-0.1900842892953964
542,-0.11561773055985022
543,-0.1629395262736188
544,-0.18511817515474321
545,-0.14523499206653845
546,-0.08581237380613194
547,-0.20605107915518686
548,-0.24511209782099444
549,-0.10017619757026228
550,-0.09064738458326865
551,-0.2159778805774452
552,-0.08453709946834846
553,-0.07879223107406158
554,-0.05180153093303959
555,-0.2153086134251987
556,-0.16966394203041568
557,-0.0853738698657859
558,-0.10667312353978323
559,-0.13574560975080774
560,-0.2808146809292342
561,-0.1229290101828544
562,-1.1690916073505493
563,-0.05587313442920708
564,-0.11638955730138686
565,-0.1914245485550436
566,-0.17887530054755835
567,-0.16593967370159218
568,-0.17320939881401987
569,-0.10946238192308086
570,-0.08554133947894134
571,-0.19702126850562873
572,-0.17684726032190923
573,-0.11764758671258502
574,-0.14022780605963941
575,-0.20183286189292482
576,-0.12820154172928355
577,-0.18184207995164703
578,-0.13105986131865255
579,-0.15957625803582445
580,-0.09864913270001993
581,-0.20756666340647217
582,-0.1738462618826147
583,-0.2010590454912838
584,-0.15026996239282542
585,-0.13638348395624994
586,-0.14921416054015474
587,-0.16804905518720115
588,-0.16953342953046746
589,-0.1833061113889058
590,-0.06579775121737147
591,-0.15962098369485223
592,-0.19141853972365958
593,-0.18950260577287786
594,-0.14150446053249233
595,-0.16269547125535938
596,-0.1929540026606673
597,-0.16914489580328046
598,-0.20632017121337648
