t,R_comp
5419.0,1.3189891710713894e-06
5420.0,1.3511791649708197e-06
5421.0,1.6902163311172224e-06
5422.0,1.6104254190022036e-06
5423.0,1.2862142170987186e-06
5424.0,9.425701833526571e-07
5425.0,2.1890965215074578e-06
5426.0,3.087082924106215e-06
5427.0,1.7864308920895735e-06
5428.0,1.1121112221877133e-06
5429.0,3.339860996349634e-06
5430.0,1.1149385888772478e-06
5431.0,2.2835125594889842e-06
5432.0,2.616052862145369e-06
5433.0,1.67354843164509e-06
5434.0,1.5397876933860914e-06
5435.0,2.1102112329829604e-06
5436.0,2.257024922384593e-06
5437.0,2.7975775808923617e-07
5438.0,2.5507847094227776e-06
5439.0,1.1389924986962127e-06
5440.0,7.823510148882045e-07
5441.0,1.3072822265704507e-06
5442.0,1.497728275642914e-06
5443.0,2.569184203017878e-06
5444.0,1.132083645200523e-06
5445.0,2.9681251022941553e-06
5446.0,2.0119629325456317e-06
5447.0,1.3347206929217222e-06
5448.0,2.270402067469065e-06
5449.0,9.58337630825471e-07
5450.0,2.199305647275074e-06
5451.0,2.2013078672846715e-06
5452.0,1.387857437901367e-06
5453.0,4.063578079916157e-06
5454.0,2.4027283122281404e-06
5455.0,1.94770900928975e-06
5456.0,7.20387966347506e-07
5457.0,2.516504195063455e-06
5458.0,1.615959154447107e-06
5459.0,2.548283015798302e-07
5460.0,6.047124069814209e-07
5461.0,3.4823323567750357e-06
5462.0,1.6253702299621208e-06
5463.0,5.88396015228569e-06
5464.0,3.1158208852297316e-06
5465.0,1.18590836416282e-06
5466.0,2.3066937814140798e-06
5467.0,3.191462875361609e-06
5468.0,3.3914072619786257e-06
5469.0,1.8589673159065154e-06
5470.0,1.5626522331301612e-06
5471.0,1.4026290326109843e-06
5472.0,2.1836482441524073e-06
5473.0,4.458209534471745e-06
5474.0,1.1251764335201784e-06
5475.0,3.242622583592457e-06
5476.0,1.2227222100921661e-06
5477.0,3.1462564667667708e-06
5478.0,2.3357871683787374e-06
5479.0,2.985333226277206e-06
5480.0,1.5765349327435792e-06
5481.0,4.643583254060215e-06
5482.0,8.218630250593008e-07
5483.0,7.948575086795501e-07
5484.0,1.624988085901453e-06
5485.0,3.1629512176320666e-06
5486.0,1.9076475932655473e-06
5487.0,2.295167374715919e-06
5488.0,1.2902710433782473e-06
5489.0,4.317268269209253e-06
5490.0,2.438363340596484e-06
5491.0,4.001903021864248e-06
5492.0,3.634503921804734e-06
5493.0,3.6833057102050566e-06
5494.0,7.139286534742444e-06
5495.0,1.1443102352960712e-06
5496.0,4.684065946487583e-06
5497.0,2.1482899588421664e-06
5498.0,3.0257784767064676e-06
5499.0,6.539241348740078e-07
5500.0,1.5765785653569906e-06
5501.0,3.4280276279353423e-07
5502.0,2.619248844200288e-06
5503.0,7.589289214002642e-07
5504.0,7.523385704334303e-07
5505.0,1.1773205024437707e-06
5506.0,1.6424876300354957e-06
5507.0,2.995245622860597e-06
5508.0,4.2256078427587316e-06
5509.0,6.36372914617e-07
5510.0,1.822547365453032e-06
5511.0,5.300753313916546e-06
5512.0,1.088620247312144e-06
5513.0,5.272405701533016e-06
5514.0,2.6042020631934496e-06
5515.0,3.573625773225802e-06
5516.0,3.6671724284864317e-06
5517.0,2.110631291049131e-06
5518.0,1.2025902550092302e-06
5519.0,2.0394264530112173e-06
5520.0,1.458202130447772e-06
5521.0,1.3218137886251533e-06
5522.0,2.068735296224591e-06
5523.0,2.484410822563075e-06
5524.0,3.3661305982142062e-06
5525.0,2.4848457475296975e-06
5526.0,4.025984398855005e-06
5527.0,2.6516707311169195e-06
5528.0,2.4069822702743686e-06
5529.0,5.347305007831033e-07
5530.0,1.2833900307880353e-06
5531.0,1.845039766465392e-06
5532.0,2.05307823206207e-06
5533.0,3.3109580756744993e-06
5534.0,3.93909687947728e-06
5535.0,1.3017153892074777e-06
5536.0,1.0086870467945527e-06
5537.0,5.287799566060256e-06
5538.0,2.837915789135021e-06
5539.0,3.2229219979547736e-06
5540.0,2.2349721974849882e-06
5541.0,4.799238098377783e-06
5542.0,1.5494272222012495e-06
5543.0,1.3720095440652896e-06
5544.0,1.2725615506627878e-06
5545.0,5.561088539485409e-07
5546.0,6.949773334814976e-07
5547.0,1.6867355117454485e-06
5548.0,1.5976825272775547e-06
5549.0,1.7532199704985693e-06
5550.0,1.5463947199473074e-06
5551.0,2.3338567161436702e-06
5552.0,2.967441031470202e-06
5553.0,3.4242078808441136e-06
5554.0,1.680930770209784e-06
5555.0,1.3246080967050403e-06
5556.0,3.7528513461499007e-06
5557.0,3.0787864473801345e-06
5558.0,4.894622575533021e-06
5559.0,1.466597334479897e-06
5560.0,1.378150518412236e-06
5561.0,1.3626525993090904e-06
5562.0,2.8698754088133543e-07
5563.0,1.983385413912249e-06
5564.0,8.145033780939402e-07
5565.0,1.9049278820307842e-06
5566.0,2.640130346722715e-06
5567.0,1.0161711957644291e-06
5568.0,7.825681877088492e-07
5569.0,1.221044400999251e-06
5570.0,4.414784760186191e-06
5571.0,3.4207142634196984e-06
5572.0,2.1749588707896376e-06
5573.0,8.78739549487582e-06
5574.0,1.5766505197857955e-06
5575.0,1.3945919226970756e-06
5576.0,5.294707977104826e-07
5577.0,3.413828632708419e-07
5578.0,9.472795809884531e-07
5579.0,3.896126176783337e-06
5580.0,8.024813552903656e-07
5581.0,5.759952635832712e-07
5582.0,2.0943707218821554e-06
5583.0,2.6108008700608386e-06
5584.0,2.4956693457240405e-06
5585.0,1.0975245013731302e-06
5586.0,5.348024164901195e-06
5587.0,1.938666954919848e-06
5588.0,4.0738895115867565e-06
5589.0,4.890383722833446e-07
5590.0,2.970067433996431e-06
5591.0,2.353839672020935e-06
5592.0,2.7419980730205137e-06
5593.0,2.685165546587368e-07
5594.0,1.7280512832468282e-06
5595.0,5.443812026743169e-07
5596.0,3.886502805799084e-06
5597.0,5.737461444189686e-06
5598.0,1.3371657223497124e-06
5599.0,2.2675632148809586e-06
5600.0,1.4564105039486968e-06
5601.0,1.288713780394291e-06
5602.0,2.988172774257541e-06
5603.0,1.7937374603644503e-06
5604.0,1.0827444981608036e-06
5605.0,2.474416206554171e-06
5606.0,8.325092480024374e-07
5607.0,3.2633196244011165e-06
5608.0,4.7356540946538425e-06
5609.0,1.2241232458204137e-06
5610.0,2.5556551848759905e-06
5611.0,1.0120100703347598e-06
5612.0,2.1911984989391102e-06
5613.0,2.597092963697647e-06
5614.0,1.1616932101243582e-06
5615.0,1.9514493791977785e-06
5616.0,5.972270396986986e-06
5617.0,7.71737799607169e-06
5618.0,1.4438683090839335e-06
5619.0,3.3743318993174347e-06
5620.0,3.383821044623651e-06
5621.0,6.968136637974641e-07
5622.0,3.5407154603573526e-06
5623.0,1.1647921926268424e-06
5624.0,4.827097488220598e-07
5625.0,3.4979201747772448e-06
5626.0,2.0584695127388743e-06
5627.0,9.111052826938621e-07
5628.0,4.437061999624873e-06
5629.0,1.3689360995428941e-07
5630.0,1.9390009293200707e-06
5631.0,3.851816338568188e-06
5632.0,2.87390520696582e-06
5633.0,1.7401169347946343e-06
5634.0,2.7314412131894352e-06
5635.0,4.2539443983608445e-07
5636.0,1.0300142403283816e-06
5637.0,2.220869776607221e-06
5638.0,8.788957169049201e-07
5639.0,3.6361164717870142e-06
5640.0,1.8083669182807067e-06
5641.0,1.2603358215177987e-06
5642.0,2.8221694029872005e-07
5643.0,1.2061843088962841e-06
5644.0,1.1095254326193753e-06
5645.0,2.5897077582941525e-06
5646.0,2.1371486512761398e-06
5647.0,4.61675171306081e-06
5648.0,4.074650246932257e-06
5649.0,4.844725794433401e-06
5650.0,5.549934618527812e-07
5651.0,1.7777816181362761e-06
5652.0,2.345417631987237e-06
5653.0,7.554298176428431e-07
5654.0,4.850181706716734e-07
5655.0,1.6054864726675701e-06
5656.0,6.655589684616807e-07
5657.0,5.971335023288529e-07
5658.0,9.595175395169492e-07
5659.0,7.041378743972624e-07
5660.0,2.3059996043049982e-06
5661.0,2.318723051264369e-06
5662.0,4.530229403285771e-06
5663.0,3.7948387009104675e-06
5664.0,1.1280553437785289e-06
5665.0,2.667863146821087e-06
5666.0,1.9034705033154873e-06
5667.0,3.918571463834834e-06
5668.0,4.16175229754937e-06
5669.0,2.1482609470841186e-06
5670.0,2.9077890426759105e-06
5671.0,1.660903206957746e-06
5672.0,1.009063796583142e-06
5673.0,3.751655135365174e-06
5674.0,3.68809324884975e-06
5675.0,1.3815890792795771e-06
5676.0,8.413581977453261e-07
