sigma,t,sigma_str,t_str,absL
0.5934316903052821,3725.9567544538977,0.59343169030528213727058597834956833304113981051203,3725.9567544538979158676615175241876456596766432383,6.649310585368859e-49
0.6926382436363816,3785.5383928527954,0.69263824363638164220194664881187160572236634801501,3785.5383928527953770686799934775306296101673559707,4.5187698684709785e-48
0.6416344083939226,3821.415942363113,0.64163440839392264639381332665548975737506472289335,3821.4159423631133208332441749300068560356372088666,3.7611212059202095e-48
0.8042433164749396,3831.0314470841545,0.80424331647493957826316041863720885135951226425648,3831.031447084154349764886091806273098888161417204,6.013254910069703e-48
0.5803939245241408,3838.0545588078007,0.58039392452414085193267269582507759194369040333711,3838.0545588078007267424691275345356583625190571968,1.6472570376746875e-49
0.704589325873743,3928.9968325495415,0.70458932587374300173024852370345167904051935322487,3928.9968325495415594252503330441976794981292545365,3.630912720953208e-48
0.5409919636792526,3957.5284563793084,0.54099196367925262122349575584504337947871427657567,3957.5284563793083861200731925946969737262168696916,1.1856602767121636e-49
0.7122648391920828,3975.488819741451,0.71226483919208285932400979513037227088162175674073,3975.4888197414510301293350716983615818309073983326,4.006337188517953e-48
0.5875620786959643,4002.361268486094,0.58756207869596428784534618254383325142467589817591,4002.3612684860942962885166504309171349331999772079,9.206083286472008e-49
0.6591393592808874,4009.98015380658,0.65913935928088735045763054735580513854337432413673,4009.9801538065798179755013978268069082922870891047,5.3121267042001366e-48
0.5944098765992549,4048.054041200886,0.59440987659925493207411418879624520063185275887011,4048.0540412008856500882232889546042578867930046421,1.2164240304081678e-48
0.6419694834691919,4066.072212115642,0.64196948346919195358001301647815412047396877662467,4066.0722121156419319040411134505560911495475440463,2.4771626749926173e-49
0.6863377031257543,4083.3578496982173,0.68633770312575426430425762351955068263834028341835,4083.357849698217416990573365657772776660562212146,4.391478352406476e-49
0.6468412357072342,4163.9619496205705,0.64684123570723419999534239377292704136473713309319,4163.9619496205708300297795373369272414314189912057,1.0031986451015985e-48
0.54386784058971,4174.587625979098,0.54386784058971003218896897202985922560248756045242,4174.587625979098372438896963991217447890591041394,1.446358701062353e-48
0.6104452780824293,4177.945453683942,0.61044527808242936494707993311495444531554737190064,4177.9454536839421184783332551123378975065843612311,3.990822937592881e-49
0.6419534301746741,4192.460971253607,0.6419534301746741385776762682890033526712910129671,4192.4609712536065887221928646235956900337825437368,6.860485989337774e-48
0.6184439451796785,4206.991255658613,0.61844394517967845961228733617373613260111737554609,4206.9912556586128209569274443424971709451121910208,3.341032731672526e-48
0.654474201561617,4228.0189592737315,0.65447420156161697970138796712575160224416245473319,4228.018959273731704995804992190786547592938565607,7.879078018388279e-48
0.857656243519006,4237.969215003032,0.85765624351900602858650264373191046318336641977305,4237.9692150030323482215697116593944507581904524833,4.502195139166429e-48
