case	lambda	strength	beta	N	S_N	radius	shellMass	ratio
plant-lam7-b0.10-s10.0	7	10.0	0.10	11	11.2947263964560017038301	0.0885368945558322336567657	0.289479197412546868268415	1.77292341319946357908121
plant-lam7-b0.10-s10.0	7	10.0	0.10	12	14.4694693651669345304004	0.0691110347423900145124497	0.158254349836880170207849	1.28108188346262965189188
plant-lam7-b0.10-s10.0	7	10.0	0.10	13	1396.27121832723486485138	0.000716193234433366801465306	0.0940536850870490455149252	96.4977486796127619080006
plant-lam7-b0.10-s10.0	7	10.0	0.10	14	23.3464174454804163090991	0.0428331242827831766513195	0.0286412951328103029667162	0.0167205462227102002941017
plant-lam7-b0.10-s10.0	7	10.0	0.10	15	178.834650265408288073266	0.00559175751743804240384038	0.0142587009501507863724101	7.66004680088629661104982
plant-lam7-b0.10-s10.0	7	10.0	0.10	16	54.1560142305928798924171	0.0184651698284527238573082	0.0344127615640432210610521	0.302827299688399338161084
plant-lam7-b0.10-s10.0	7	10.0	0.10	17	66.8329273156825338867592	0.0149626844156704653966932	0.0215548574962370859006392	1.23408135301671501660193
plant-lam7-b0.10-s10.0	7	10.0	0.10	18	107.571489774445242103839	0.00929614344931718790061125	0.00914675620668432685377662	1.60955825361854665086251
plant-lam7-b0.20-s10.0	7	10.0	0.20	6	5.14783165872140467718048	0.194256546502605625566494	0.724203483163905728159041	
plant-lam7-b0.20-s10.0	7	10.0	0.20	7	3.36541460316291460477544	0.297140209429224824760156	0.810196082152854859840047	0.653753818359864778329943
plant-lam7-b0.20-s10.0	7	10.0	0.20	8	3.03515377179839356650731	0.329472598486329276997963	0.832186858821774005050569	0.90186622740207631603653
plant-lam7-b0.20-s10.0	7	10.0	0.20	9	6.88768788625491634944686	0.145186602022951996670035	0.933510687760996397004259	2.26930442544722004983491
plant-lam7-b0.20-s10.0	7	10.0	0.20	10	6.67240327579899057775034	0.149871037265842486618425	0.848122240128605012772976	0.96874355894006925478086
plant-lam7-b0.20-s10.0	7	10.0	0.20	11	15.499312299841616275809	0.0645189915948863588076645	0.255639548429509123055861	2.322898011284493689677
plant-lam7-b0.20-s10.0	7	10.0	0.20	12	27.631465969529963021212	0.0361906241638691793102296	0.0962727936663762492732018	1.78275432064249213752749
plant-lam7-b0.20-s10.0	7	10.0	0.20	13	297.124071641127641833935	0.00336559738992746394496378	0.0458519393018892062731793	10.753105606802591194764
plant-lam7-b0.20-s10.0	7	10.0	0.20	14	49.841606592956295330531	0.0200635587084249764565314	0.0170561430136447139391814	0.167746781059045186429584
plant-lam7-b0.20-s10.0	7	10.0	0.20	15	94.838801469664820891219	0.0105442074815745159170291	0.00819265252161930600027413	1.90280386112328107282354
plant-lam7-b0.20-s10.0	7	10.0	0.20	16	241.892335855184111852091	0.00413407062470420356427796	0.0158037932531594756410443	2.5505629774597678419793
plant-lam7-b0.20-s10.0	7	10.0	0.20	17	191.103636776735393554924	0.00523276279230777133480214	0.0101299549675481693727249	0.790035931072843699281146
plant-lam7-b0.20-s10.0	7	10.0	0.20	18	202.628937899516852857295	0.00493512925826960273278919	0.0033457918062083879848203	1.06030916688543380109547
plant-lam7-b0.30-s10.0	7	10.0	0.30	6	2.08202336146851868317866	0.480302007415837797584377	0.777144789322268110537598	
plant-lam7-b0.30-s10.0	7	10.0	0.30	7	1.73625449561936830467677	0.575952432389972484060387	0.740519557595743640440527	0.83392651963075555031277
plant-lam7-b0.30-s10.0	7	10.0	0.30	8	0.793394231694665687512335	1.26040744947695264066449	0.619713165744156623706972	0.456957337588716103522832
plant-lam7-b0.30-s10.0	7	10.0	0.30	9	6.11368476612898282007912	0.163567478248174793999891	0.911564560065276911381244	7.70573382298273093461625
plant-lam7-b0.30-s10.0	7	10.0	0.30	10	8.64712445943314140346257	0.115645380691739757634407	0.814878474076500110491818	1.41438834192759058039299
plant-lam7-b0.30-s10.0	7	10.0	0.30	11	21.1300406540983172197996	0.0473259856130964470348928	0.237047825993841227034048	2.44359159547513765311542
plant-lam7-b0.30-s10.0	7	10.0	0.30	12	40.062122104348506717643	0.0249612338905895328681581	0.0750630108716446362896083	1.89597941434051058654568
