epsilon,peak_index,t_value,magnitude,M_coh,R_comp
0.0,11.0,3908.0,12.050608521471258,1.4706088215591706,0.008947087527213514
0.0,12.0,4990.0,11.989591141427674,1.2353724560881907,0.012938009952652915
0.0,13.0,3196.0,11.858666666155079,1.4534662714191309,0.005487873381466823
0.0,14.0,4760.0,11.788559097294815,1.374967305454787,0.010055714752807901
0.0,15.0,6896.0,11.727619252047395,1.2973380731225748,0.012919150409257583
0.0,16.0,8496.0,11.690508010496021,1.1515803158255506,0.012765874636179314
0.0,17.0,2668.0,11.044807153593545,1.4020672498041606,0.00685732782733915
0.0,18.0,1268.0,10.959439941266929,1.3345936451889298,0.007970972641190979
0.0,19.0,4184.0,10.84175995488767,1.4139354439422065,0.004831524987432492
0.0,20.0,5808.0,10.785915417580869,1.4324048608253088,0.006741760557366243
0.0,21.0,4504.0,10.744767723996596,1.4769200166920702,0.0058946028485122245
0.0,22.0,8120.0,10.685020387325523,1.2607497731518107,0.005440237155644356
0.0,23.0,6542.0,10.405407071869039,1.4640306507034009,0.005611783568159294
0.0,24.0,6398.0,10.33426337734223,1.4469786146055679,0.0037737884795621896
0.0,25.0,5794.0,10.191199919076833,1.4548083057921644,0.00850864701530204
0.0,26.0,2182.0,10.110427119838388,1.4907440591795622,0.008444536821981588
0.0,27.0,9936.0,10.0527496449749,1.2840041733276073,0.00503920597276388
0.0,28.0,2434.0,10.008147363331746,0.8103311769414078,0.011012110360534075
0.0,29.0,2894.0,9.97719799384024,1.4648628029598918,0.0046530996040056085
0.0,30.0,9034.0,9.906089983173612,1.4062393354952785,0.005731246762806558
0.0,31.0,8758.0,9.856878824179805,1.3176534353077396,0.009596055127816179
0.0,32.0,8024.0,9.76215338720322,1.3063746074224267,0.006524196965663911
0.0,33.0,9856.0,9.719400215839505,0.838486954567425,0.01233669213767985
0.0,34.0,6166.0,9.686393782961245,1.3788017165726147,0.006901319950171167
0.0,35.0,2632.0,9.579936746396223,1.3435841247168347,0.007842678945643656
0.0,36.0,1194.0,9.542624781944939,1.353140920097821,0.007228704120042018
0.0,37.0,2326.0,9.50271409360189,1.117822092305451,0.008515704127945221
0.0,38.0,4590.0,9.427090721907192,0.925957969672481,0.014487524578172217
0.0,39.0,5644.0,9.345063303702117,1.3970997421810245,0.008294458551922674
0.0,40.0,6062.0,9.316417304503013,1.4249084064160964,0.00694231493807179
0.0,41.0,8106.0,9.283694903462315,1.3804803190893176,0.0066156481666624
0.0,42.0,1586.0,9.273593416795837,1.395122417455904,0.008434967071820627
0.0,43.0,4368.0,9.215850420983166,1.2549041934064549,0.007946118929727748
0.0,44.0,9744.0,9.21170683458719,1.39765274761421,0.006006583938837958
0.0,45.0,3656.0,9.134791272448249,1.0969340002304904,0.006484106441282133
0.0,46.0,3544.0,9.110959053772673,1.5270024799909603,0.003898258705762003
0.0,47.0,7748.0,9.07522141094944,1.4054855622916997,0.005100913563646284
0.0,48.0,1770.0,9.05879108476205,0.8213045318335289,0.012234604575307223
0.0,49.0,2498.0,9.017610910912596,1.0561952269816952,0.008218672586011645
