class,t,logS_0,logS_1,logS_2,logS_3,logS_4,logS_5,logS_6,logS_7
F1,52656.90000015518,0.0,0.6792272276289301,0.8921581443857265,0.778608662689307,0.4582016765485029,0.1462926949463273,-0.7152739955454097,-2.563937543248857
F1,91707.60000029724,0.0,0.654900588989084,0.8847533458567374,0.7266066330698665,0.5667235647338718,0.11363518743431003,-0.8818726806839137,-2.803245298506366
F1,51106.800000149546,0.0,0.6928231917311876,0.9079711072974224,0.7232305827052706,0.31746059351346917,0.22520713926362976,-0.6808619791399033,-2.3268039531856983
F1,97735.70000031918,0.0,0.6941454984102887,0.8921667189771506,0.7977686214184266,0.440298054099259,-0.29574169247700094,-1.0204823426248837,-2.294205397534699
F1,60652.00000018427,0.0,0.7159987940685213,0.9415669722205217,0.7872026942703793,0.28012619082781265,-0.6310429790357608,-1.1426406893903935,-3.139224444380189
F1,40800.600000112056,0.0,0.6557740289677809,0.880887648901193,0.811163652153098,0.5562149303256768,0.10549401319153326,-0.3619001991785971,-2.2156342071631916
F1,30775.00000007558,0.0,0.6565419763755154,0.9366785975554062,0.8578947444438612,0.18370595251711117,-0.018723778003751686,-0.6913301463275694,-2.36083464374233
F1,45079.00000012762,0.0,0.6812352458994364,0.9226075984901528,0.7933443899419235,0.2871290744263961,0.02798944896434321,-0.7706803631396775,-2.7746607388385964
F1,79851.10000025411,0.0,0.669287241879374,0.8552022555646825,0.7543792253232322,0.5152677929643199,0.1925200242028072,-0.6618856756624745,-2.481980921663868
F1,84700.80000027176,0.0,0.6345192391680843,0.8549493534682315,0.6701996793114336,0.6030930327148578,0.2639297871814326,-0.6161170371069229,-2.509664394478176
F1,41452.800000114425,0.0,0.6802964447600146,0.9141112525768169,0.7717665490886251,0.2973617986067807,0.0014661813515733407,-0.8368666702399772,-2.6757947504379405
F1,54624.10000016234,0.0,0.704360627400349,0.9350762530392521,0.7318031774421452,0.32519701735927214,-0.16061507704557457,-1.0283689863923264,-2.235312998412474
F1,81229.50000025913,0.0,0.5242784307538515,0.7855863963698252,0.7344522869035217,0.6345477522530383,0.375136447410483,-0.43579731805531835,-2.181490370733303
F1,39422.20000010704,0.0,0.6558704111755393,0.8520750841860631,0.8248721904561486,0.35449491210858064,0.030633047304893097,-0.65440430367823,-2.469183477952513
F1,59273.700000179255,0.0,0.6333640839366863,0.8673957745018585,0.7480910273073739,0.47803890585135145,0.20961787502693702,-0.6723831181345834,-2.8502312443840165
F1,72227.70000022638,0.0,0.7024185047700559,0.9100989076419652,0.7129618295185938,0.43246062779834543,0.002183087726573404,-0.982133401475428,-2.6510506110421037
F1,99285.60000032482,0.0,0.6443723046821206,0.845936568339988,0.7649075127066484,0.5775162772750329,-0.050720059330856625,-1.1892007438240049,-2.3362978131215906
F1,56373.50000016871,0.0,0.6306929070980866,0.8593613463046779,0.7579924618732343,0.38882900035050394,0.28594138951373005,-0.3445567576685659,-2.246461925279437
