# M4.1 archimedean Kahler density  Psi(r)=Re psi(1/4+i r/2)-log pi
"# PROVEN: Psi even, strictly increasing on r>0, unique zero r0, Psi~log(r/2pi)->+inf"
"# r0=6.2898359888369  gamma_1=14.1347251417  =>  Psi<0 ONLY on |r|<r0, strictly inside zero-free gap |r|<gamma_1"
r,Psi(r),Psi_prime(r)
34.5,1.70304724582746733,0.0289875372146
34.75,1.71026799582855355,0.0287789648793
35.0,1.71743697661344645,0.0285733727617
35.25,1.72455492527041351,0.0283706974358
35.5,1.73162256325593398,0.0281708772626
35.75,1.73864059683364144,0.0279738523281
36.0,1.74560971749796564,0.027779564383
36.25,1.75253060238310948,0.0275879567853
36.5,1.75940391465796594,0.0273989744456
36.75,1.76623030390755127,0.0272125637737
37.0,1.77301040650150301,0.0270286726285
37.25,1.77974484595016589,0.0268472502688
37.5,1.78643423324876379,0.0266682473071
37.75,1.79307916721013315,0.0264916156646
38.0,1.7996802347864708,0.0263173085279
38.25,1.80623801138052892,0.0261452803081
38.5,1.81275306114666949,0.0259754866005
38.75,1.81922593728217244,0.0258078841468
39.0,1.82565718230917358,0.0256424307982
39.25,1.83204732834759174,0.02547908548
39.5,1.8383968973793886,0.0253178081578
39.75,1.84470640150448928,0.0251585598042
40.0,1.85097634318867769,0.0250013023683
40.25,1.85720721550376669,0.0248459987444
40.5,1.8633995023603301,0.0246926127434
40.75,1.86955367873327148,0.0245411090646
41.0,1.87567021088049249,0.0243914532681
41.25,1.88174955655491269,0.0242436117496
41.5,1.88779216521008187,0.0240975517146
41.75,1.89379847819961597,0.023953241154
42.0,1.89976892897067774,0.0238106488213
42.25,1.90570394325171455,0.0236697442098
42.5,1.91160393923465636,0.0235304975305
42.75,1.91746932775176924,0.0233928796915
43.0,1.92330051244735114,0.0232568622777
43.25,1.92909788994444961,0.0231224175311
43.5,1.93486185000677361,0.0229895183318
43.75,1.94059277569596462,0.0228581381801
44.0,1.94629104352438591,0.0227282511787
44.25,1.95195702360358227,0.0225998320155
44.5,1.95759107978855664,0.0224728559476
44.75,1.96319356981800427,0.0223472987849
45.0,1.96876484545063961,0.0222231368751
45.25,1.97430525259774581,0.0221003470886
45.5,1.97981513145207175,0.0219789068043
45.75,1.98529481661319683,0.0218587938957
46.0,1.99074463720947876,0.0217399867174
46.25,1.99616491701669592,0.021622464092
46.5,2.0015559745734908,0.0215062052977
46.75,2.00691812329371785,0.021391190056
47.0,2.01225167157579452,0.02127739852
47.25,2.01755692290915113,0.0211648112629
47.5,2.02283417597787129,0.0210534092668
47.75,2.02808372476161154,0.0209431739124
48.0,2.03330585863388526,0.0208340869683
48.25,2.03850086245779333,0.0207261305809
48.5,2.04366901667928039,0.0206192872649
48.75,2.04881059741799335,0.0205135398937
49.0,2.05392587655581554,0.0204088716902
49.25,2.05901512182314766,0.0203052662183
49.5,2.06407859688300383,0.0202027073736
49.75,2.06911656141298897,0.0201011793758
50.0,2.0741292711852211,0.02000066676
50.25,2.07911697814426022,0.0199011543693
50.5,2.08407993048310294,0.0198026273469
50.75,2.08901837271730041,0.0197050711289
51.0,2.09393254575725477,0.0196084714367
51.25,2.09882268697874754,0.0195128142707
51.5,2.10368903029175173,0.0194180859031
51.75,2.10853180620757737,0.0193242728713
52.0,2.11335124190439883,0.0192313619717
52.25,2.11814756129121038,0.0191393402535
52.5,2.12292098507025506,0.0190481950125
52.75,2.12767173079797046,0.0189579137854
53.0,2.13240001294449333,0.0188684843443
53.25,2.13710604295176389,0.0187798946905
53.5,2.14179002929026908,0.0186921330502
53.75,2.14645217751446289,0.0186051878682
54.0,2.15109269031690061,0.0185190478036
54.25,2.15571176758112264,0.0184337017243
54.5,2.1603096064333223,0.0183491387029
